time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1722349462.3817198,5100.000,5100.000,5100.000,800.000,800.000,800.000,800.000,800.000,800.000,3645.246,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,1059.644,800.000,800.000,800.000,800.000
1722349463.396158,5100.000,5100.000,5100.000,800.000,800.000,800.000,800.000,800.000,800.000,3841.457,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,987.251,800.000,800.000,800.000,800.000
1722349464.4108462,5100.000,5100.000,5100.000,800.000,800.000,800.000,800.000,800.000,800.000,3792.359,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,800.000,996.513,800.000,800.000,800.000,800.000
1722349465.4313595,5100.000,5100.000,5096.150,800.000,4200.000,800.000,4200.000,800.000,4200.000,4200.000,4200.000,800.000,4200.000,800.000,4200.000,800.000,4099.951,4099.685,4099.925,4099.995,4100.036,4100.225,4099.971,4100.007
1722349466.447526,4800.000,4801.041,4800.000,800.000,4800.012,800.000,4800.000,800.000,4800.012,4799.962,4800.000,800.000,4800.000,800.000,4800.000,800.000,3570.266,3570.154,3570.299,3570.393,3573.439,3573.576,3573.640,3573.627
1722349467.463321,4726.054,4773.435,4726.031,800.000,4726.051,800.000,4726.058,800.000,4726.034,4725.180,4726.064,800.000,4726.069,800.000,4726.047,800.000,3569.312,3569.508,3569.367,3569.320,3568.914,3568.834,3568.934,3568.916
1722349468.4790382,4624.200,4760.780,4624.177,800.000,4624.178,800.000,4624.201,800.000,4624.248,4747.983,4700.000,800.000,4741.136,800.000,4741.121,800.000,3483.801,3484.083,3483.878,3483.858,3483.323,3483.017,3483.326,3483.291
1722349469.4949613,4800.000,4899.179,4800.000,800.000,4800.000,800.000,4800.000,800.000,4800.000,4800.000,4800.000,800.000,4800.000,800.000,4800.000,800.000,3558.684,3566.891,3566.820,3566.851,3563.990,3563.916,3563.479,3563.952
1722349470.5113096,4800.000,4698.756,4800.000,800.000,4800.000,800.000,4800.000,800.000,4800.000,4800.000,4800.012,800.000,4800.012,800.000,4800.000,800.000,3573.965,3574.015,3574.073,3574.086,3576.602,3576.655,3576.590,3576.609
1722349471.5277598,4689.897,4707.148,4689.909,800.000,4689.898,800.000,4689.870,800.000,4689.926,4700.223,4668.912,800.000,4689.885,800.000,4689.900,800.000,3497.092,3496.723,3497.088,3497.072,3494.693,3494.720,3494.661,3494.643
1722349472.5437522,4700.000,4643.503,4700.000,800.000,4700.000,800.000,4700.000,800.000,4700.000,4668.878,4700.011,800.000,4700.000,800.000,4700.000,800.000,3458.951,3459.000,3459.030,3458.855,3460.501,3460.669,3460.557,3460.647
1722349473.5607142,4700.000,4687.841,4700.000,800.000,4700.000,800.000,4700.000,800.000,4700.000,4700.000,4700.000,800.000,4700.000,800.000,4700.000,800.000,3586.272,3586.220,3586.357,3586.265,3585.570,3585.127,3585.947,3585.591
1722349474.577367,2600.000,2600.000,2599.993,800.000,2599.993,800.000,2600.000,800.000,2600.000,2600.018,2600.000,800.000,2600.006,800.000,2600.000,800.000,2322.480,2322.322,2322.437,2322.479,2321.864,2321.927,2321.821,2321.954
