time,intel-rapl-mmio:0,intel-rapl:0
1722351906.1302583,189133477914,189133477914
1722351907.1441832,189180300426,189180300426
1722351908.1583881,189227457593,189227457593
1722351909.1774054,189337317846,189337317846
1722351910.1936932,189535496477,189535496477
1722351911.209965,189758007199,189758007199
1722351912.225976,189980497413,189980497413
1722351913.2413394,190203028093,190203028093
1722351914.257512,190425478390,190425478390
1722351915.2733495,190647989784,190647989784
1722351916.289547,190870530535,190870530535
1722351917.3060923,191090855532,191090855532
1722351918.3226862,191202768271,191202768271
1722351919.3396106,191268256628,191268256628
1722351920.3562176,191333851919,191333851919
1722351921.3726745,191399448309,191399448309
1722351922.3891368,191465122152,191465122152
1722351923.405684,191530907018,191530907018
1722351924.4221714,191596654225,191596654225
1722351925.4390283,191662510075,191662510075
1722351926.456313,191728290424,191728290424
1722351927.4735012,191794377108,191794377108
1722351928.4902458,191860227098,191860227098
1722351929.5070848,191926199646,191926199646
1722351930.523718,191992149795,191992149795
1722351931.5398855,192058073271,192058073271
1722351932.558076,192124136151,192124136151
1722351933.5747664,192190127620,192190127620
1722351934.5910823,192256093516,192256093516
1722351935.607809,192322100122,192322100122
1722351936.6243284,192388145119,192388145119
1722351937.6409698,192454132133,192454132133
1722351938.6575966,192520177557,192520177557
1722351939.6734002,192586156026,192586156026
1722351940.6899424,192652163547,192652163547
1722351941.7064548,192718160631,192718160631
1722351942.7232423,192784213685,192784213685
1722351943.7397952,192850306289,192850306289
1722351944.7564352,192916299101,192916299101
1722351945.773061,192982397809,192982397809
1722351946.7896225,193048460079,193048460079
1722351947.8063104,193114489024,193114489024
1722351948.8230984,193180558618,193180558618
1722351949.8401804,193246657875,193246657875
1722351950.8567588,193312749258,193312749258
1722351951.8734736,193378726140,193378781194
1722351952.8900652,193444860431,193444860431
1722351953.9065711,193510944857,193510944857
1722351954.9237423,193577035325,193577035325
1722351955.940497,193643066467,193643066467
1722351956.9564564,193709142103,193709142103
1722351957.9730513,193775187772,193775187772
1722351958.9897802,193841261150,193841261150
1722351960.0056722,193907237666,193907237666
1722351961.0223165,193973324349,193973324349
1722351962.0393314,194039422935,194039422935
1722351963.055902,194105533484,194105533484
1722351964.0718977,194171555470,194171555470
1722351965.0884895,194237590213,194237590213
1722351966.1051462,194303717058,194303717058
1722351967.1218066,194369811616,194369811616
1722351968.1385705,194435899215,194435899215
1722351969.1551757,194501935911,194501935911
1722351970.1716852,194568084973,194568084973
1722351971.1882193,194634088832,194634088832
1722351972.2053041,194700163248,194700163248
1722351973.2218645,194766088372,194766088372
1722351974.2385905,194832308173,194832308173
1722351975.2553744,194898481344,194898481344
1722351976.2723112,194964462498,194964462498
1722351977.2890778,195030533557,195030533557
1722351978.305258,195096574342,195096574342
1722351979.3218791,195162664017,195162664017
1722351980.338294,195228731292,195228731292
1722351981.3549404,195294911847,195294911847
1722351982.3706477,195360723569,195360787838
1722351983.387453,195426939464,195426939464
1722351984.40421,195493064294,195493064294
1722351985.421707,195559205910,195559205910
1722351986.4383607,195625283194,195625283194
1722351987.4548006,195691327825,195691327825
1722351988.4714737,195757430988,195757430988
1722351989.4880824,195823367160,195823367160
1722351990.5047388,195889407335,195889407335
1722351991.5211732,195955532654,195955532654
1722351992.5377638,196021636977,196021636977
1722351993.5543213,196087652860,196087652860
1722351994.570944,196153772625,196153772625
1722351995.5863636,196219709224,196219709224
1722351996.603086,196285839792,196285839792
1722351997.6184886,196351746544,196351746544
1722351998.6351957,196417969031,196417969031
1722351999.6522913,196483842703,196483842703
1722352000.6687906,196550133976,196550133976
1722352001.6855388,196615982562,196615982562
1722352002.7021208,196682299897,196682299897
1722352003.7200153,196748272568,196748272568
1722352004.737067,196814571775,196814571775
1722352005.7542112,196880489698,196880489698
1722352006.7706954,196946697353,196946697353
1722352007.7885523,197012765848,197012765848
1722352008.8055995,197078989128,197078989128
1722352009.8231156,197144997809,197144997809
1722352010.8403955,197211212484,197211212484
1722352011.857871,197277110081,197277110081
1722352012.8743737,197343387805,197343387805
1722352013.8911185,197409155947,197409155947
1722352014.907566,197475575821,197475575821
1722352015.9246862,197541455352,197541455352
1722352016.9411635,197607769086,197607769086
1722352017.9576707,197673648067,197673648067
1722352018.9742398,197739835398,197739835398
1722352019.9902065,197805806421,197805806421
1722352021.0068238,197871895241,197871895241
1722352022.0227358,197937898978,197937898978
1722352023.0392878,198004098699,198004098699
1722352024.055798,198070137531,198070137531
1722352025.0723577,198136154513,198136154513
1722352026.089085,198202205918,198202205918
1722352027.1054292,198268276062,198268276062
1722352028.122547,198334438978,198334438978
1722352029.1393292,198400546414,198400546414
1722352030.1560097,198466461101,198466461101
1722352031.1733646,198532494013,198532494013
1722352032.1898458,198598714852,198598714852
1722352033.2064247,198664770591,198664770591
1722352034.2231512,198730886816,198730886816
1722352035.239188,198796877980,198796877980
1722352036.255844,198863046329,198863046329
1722352037.2725384,198929124895,198929124895
1722352038.2890067,198995046845,198995046845
1722352039.3063188,199061230025,199061230025
1722352040.3231316,199127142882,199127142882
1722352041.339805,199193465405,199193465405
1722352042.3561802,199259444118,199259444118
1722352043.3728569,199325583353,199325583353
1722352044.3889458,199391615593,199391615593
1722352045.4053063,199457602912,199457602912
1722352046.421682,199523763998,199523763998
1722352047.4381135,199589704259,199589704259
1722352048.454852,199655915149,199655915149
1722352049.4715428,199721886598,199721886598
1722352050.4881253,199787997635,199787997635
1722352051.5052485,199854058501,199854058501
1722352052.5217414,199920128889,199920128889
1722352053.5385842,199986295223,199986295223
1722352054.5551624,200052257823,200052257823
1722352055.5718093,200118347864,200118347864
1722352056.5890393,200184473610,200184473610
1722352057.6054878,200250566458,200250566458
1722352058.622033,200316596685,200316596685
1722352059.639065,200382773395,200382773395
1722352060.6552806,200448743563,200448743563
1722352061.671856,200514827378,200514827378
1722352062.6886275,200580950500,200580950500
1722352063.7050364,200646854323,200646854323
1722352064.721404,200713055265,200713116849
1722352065.7373893,200779050579,200779050579
1722352066.7553728,200845125727,200845125727
1722352067.7722993,200911296395,200911296395
1722352068.7883751,200977333702,200977333702
1722352069.8060737,201043390601,201043390601
1722352070.8230298,201109593068,201109593068
1722352071.8398001,201175704166,201175704166
1722352072.8561053,201241562640,201241562640
1722352073.8727274,201307839814,201307839814
1722352074.889685,201373923690,201373923690
1722352075.9063137,201439946409,201439946409
1722352076.9230764,201506059521,201506059521
1722352077.9392343,201572085353,201572085353
1722352078.9553826,201638141336,201638141336
1722352079.9718535,201704240349,201704240349
1722352080.9885411,201770260322,201770260322
1722352082.004824,201836379781,201836379781
1722352083.021278,201902389927,201902389927
1722352084.038048,201968549975,201968549975
1722352085.054619,202034523256,202034591615
1722352086.0706859,202100622757,202100622757
1722352087.0868037,202166539276,202166539276
1722352088.1035326,202232687483,202232687483
1722352089.1201804,202298808407,202298808407
1722352090.1359746,202364851878,202364851878
1722352091.1514757,202430783472,202430783472
1722352092.168325,202496901101,202496901101
1722352093.1851068,202563002555,202563002555
1722352094.202016,202629099920,202629099920
1722352095.2185464,202695130513,202695130513
1722352096.235575,202761088535,202761088535
1722352097.2520504,202827343553,202827343553
1722352098.2691813,202893539673,202893539673
1722352099.2854462,202959554640,202959554640
1722352100.302242,203025603300,203025603300
1722352101.3184962,203091596050,203091596050
1722352102.3361065,203157802424,203157802424
1722352103.3531625,203223893869,203223893869
1722352104.3701966,203289996299,203289996299
1722352105.3870163,203356097571,203356097571
1722352106.4038806,203422091909,203422091909
1722352107.4198196,203488136295,203488136295
1722352108.4364703,203554215960,203554215960
1722352109.4524384,203620230806,203620230806
1722352110.4707685,203686364669,203686364669
1722352111.4883177,203752671812,203752671812
1722352112.504883,203818703503,203818703503
1722352113.5222223,203884812526,203884812526
1722352114.5392742,203950920999,203950920999
1722352115.5562236,204016944695,204016944695
1722352116.5730503,204083101691,204083101691
1722352117.5902731,204149171895,204149171895
1722352118.6069033,204215210300,204215210300
1722352119.6232233,204281297351,204281297351
1722352120.639878,204347331727,204347331727
1722352121.6565957,204413428543,204413428543
1722352122.6733606,204479530913,204479530913
1722352123.689978,204545558088,204545558088
1722352124.7066858,204611663692,204611663692
1722352125.7232993,204677755137,204677755137
1722352126.7403705,204743852136,204743852136
1722352127.7569878,204809938026,204809938026
1722352128.772936,204875802726,204875802726
1722352129.7895417,204942029729,204942029729
1722352130.805291,205008058979,205008058979
1722352131.8218024,205074093173,205074093173
1722352132.838463,205140198655,205140198655
1722352133.8556864,205206305236,205206305236
1722352134.8727431,205272239394,205272239394
1722352135.888673,205338410733,205338410733
1722352136.9048407,205404445537,205404445537
1722352137.9212298,205470536249,205470536249
1722352138.9378831,205536446664,205536446664
1722352139.9543347,205602688621,205602688621
1722352140.9707768,205668717078,205668717078
1722352141.9885232,205734806752,205734806752
1722352143.0045097,205800917606,205800917606
1722352144.0208852,205866940325,205866940325
1722352145.0369072,205932993623,205932993623
1722352146.0534673,205999090255,205999090255
1722352147.0700955,206065128966,206065128966
1722352148.086561,206131211438,206131211438
1722352149.1030786,206197254177,206197254177
1722352150.119779,206263345011,206263345011
1722352151.1362324,206329438836,206329438836
1722352152.1523354,206395389656,206395389656
1722352153.1690135,206461506308,206461506308
1722352154.1854095,206527604039,206527604039
1722352155.202135,206593648609,206593648609
1722352156.218994,206659746706,206659746706
1722352157.235603,206725754960,206725754960
1722352158.2523963,206791793792,206791793792
1722352159.2690814,206857865889,206857865889
1722352160.2855346,206923984311,206923984311
1722352161.3021495,206990101695,206990101695
1722352162.3193347,207056263269,207056263269
1722352163.3359482,207122304848,207122304848
1722352164.351692,207188260063,207188260063
1722352165.368093,207254353948,207254353948
1722352166.3845983,207320452046,207320452046
1722352167.4014173,207386445163,207386445163
1722352168.4195056,207452657640,207452657640
1722352169.4357786,207518657837,207518657837
1722352170.4521968,207584782119,207584782119
1722352171.4692967,207650888822,207650888822
1722352172.4850223,207716913861,207716913861
1722352173.5017881,207783016413,207783016413
1722352174.518017,207849016245,207849016245
1722352175.5345325,207915153160,207915153160
1722352176.5505884,207981149756,207981149756
1722352177.566382,208047106436,208047106436
1722352178.5825937,208113201909,208113201909
1722352179.5991104,208179137958,208179137958
1722352180.6151514,208243614477,208243614477
