time,zone2_TSKN,zone0_INT3400 Thermal,zone9_x86_pkg_temp,zone7_TCPU_PCI,zone5_HTPP,zone3_CHRG,zone1_TMEM,zone8_iwlwifi_1,zone6_TCPU,zone4_AMBF
1722352897.5487342,50,20000,51000,51000,24050,24050,32050,25000,46050,37050
1722352898.5630167,50,20000,51000,51000,24050,24050,32050,22000,51050,37050
1722352899.5771787,50,20000,53000,53000,24050,24050,32050,22000,52050,37050
1722352900.5909996,50,20000,63000,63000,24050,24050,32050,22000,57050,37050
1722352901.6111739,50,20000,83000,83000,24050,24050,33050,22000,78050,38050
1722352902.6276612,50,20000,89000,89000,24050,24050,32050,22000,86050,39050
1722352903.6443338,50,20000,91000,91000,24050,24050,32050,22000,89050,40050
1722352904.6603746,50,20000,94000,94000,24050,24050,32050,22000,93050,41050
1722352905.6770418,50,20000,94000,94000,24050,24050,32050,22000,94050,42050
1722352906.6933072,50,20000,97000,97000,24050,24050,32050,21000,96050,43050
1722352907.7096007,50,20000,99000,99000,24050,24050,32050,22000,97050,44050
1722352908.7267299,50,20000,100000,101000,24050,24050,32050,22000,99050,45050
1722352909.7428803,50,20000,69000,69000,24050,24050,32050,22000,77050,46050
1722352910.7596598,50,20000,65000,65000,24050,24050,32050,21000,66050,46050
1722352911.7767842,50,20000,63000,63000,24050,24050,32050,22000,64050,45050
1722352912.7933533,50,20000,63000,63000,24050,24050,32050,22000,63050,45050
1722352913.8101382,50,20000,62000,62000,24050,24050,31050,21000,62050,45050
1722352914.8269217,50,20000,62000,62000,24050,24050,32050,22000,62050,44050
1722352915.8433459,50,20000,62000,62000,24050,24050,32050,21000,62050,44050
1722352916.860262,50,20000,63000,63000,24050,24050,32050,24000,62050,44050
1722352917.8766263,50,20000,62000,62000,24050,24050,32050,24000,62050,44050
1722352918.8934743,50,20000,62000,62000,24050,24050,32050,23000,62050,44050
1722352919.9101,50,20000,63000,63000,24050,24050,32050,22000,62050,43050
1722352920.9269805,50,20000,63000,63000,24050,24050,31050,22000,62050,43050
1722352921.9435854,50,20000,63000,63000,24050,24050,32050,22000,63050,43050
1722352922.960247,50,20000,62000,62000,24050,24050,32050,22000,63050,43050
1722352923.9770195,50,20000,63000,63000,24050,24050,32050,22000,63050,43050
1722352924.99362,50,20000,63000,63000,24050,24050,31050,22000,63050,43050
1722352926.0101047,50,20000,63000,63000,24050,24050,31050,22000,63050,43050
1722352927.026882,50,20000,63000,63000,24050,24050,32050,22000,63050,43050
1722352928.043654,50,20000,63000,63000,24050,24050,32050,22000,63050,43050
1722352929.0603673,50,20000,63000,63000,24050,24050,31050,22000,64050,43050
1722352930.0771623,50,20000,65000,65000,24050,24050,32050,22000,63050,43050
1722352931.093183,50,20000,65000,65000,24050,24050,32050,21000,64050,43050
1722352932.1099656,50,20000,65000,65000,24050,24050,32050,22000,64050,43050
1722352933.1266685,50,20000,65000,65000,24050,24050,32050,22000,64050,43050
1722352934.1434555,50,20000,65000,65000,24050,24050,32050,21000,64050,43050
1722352935.159979,50,20000,65000,65000,24050,24050,31050,21000,65050,44050
1722352936.1766984,50,20000,66000,66000,24050,24050,32050,22000,65050,44050
1722352937.1934285,50,20000,65000,65000,24050,24050,32050,21000,65050,44050
1722352938.2101755,50,20000,66000,66000,24050,24050,32050,21000,65050,44050
1722352939.2273462,50,20000,66000,66000,24050,24050,32050,21000,65050,44050
1722352940.244078,50,20000,66000,66000,24050,24050,32050,21000,66050,44050
1722352941.2607772,50,20000,66000,66000,24050,24050,32050,21000,66050,44050
1722352942.2774599,50,20000,66000,66000,24050,24050,32050,21000,66050,44050
1722352943.2945487,50,20000,66000,66000,24050,24050,32050,22000,66050,44050
1722352944.3119435,50,20000,66000,66000,24050,24050,32050,21000,66050,44050
1722352945.3288677,50,20000,66000,66000,24050,24050,32050,21000,66050,44050
1722352946.3455842,50,20000,66000,66000,24050,24050,31050,21000,66050,44050
1722352947.3622162,50,20000,66000,66000,24050,24050,32050,21000,66050,44050
1722352948.3788085,50,20000,67000,67000,24050,24050,32050,21000,66050,44050
1722352949.3954968,50,20000,67000,67000,24050,24050,32050,21000,67050,44050
1722352950.411821,50,20000,67000,67000,24050,24050,32050,21000,67050,44050
1722352951.4285414,50,20000,67000,67000,24050,24050,31050,21000,67050,44050
1722352952.4451895,50,20000,68000,68000,24050,24050,31050,21000,67050,44050
1722352953.4620194,50,20000,67000,67000,24050,24050,31050,21000,67050,44050
1722352954.4785755,50,20000,67000,67000,24050,24050,32050,21000,67050,45050
1722352955.494514,50,20000,67000,67000,24050,24050,32050,21000,68050,45050
1722352956.5112002,50,20000,69000,69000,24050,24050,32050,21000,68050,45050
1722352957.527973,50,20000,69000,69000,24050,24050,32050,21000,68050,45050
1722352958.5445013,50,20000,69000,69000,24050,24050,31050,21000,68050,45050
1722352959.5612605,50,20000,69000,69000,24050,24050,32050,21000,68050,45050
1722352960.5774376,50,20000,68000,68000,24050,24050,32050,21000,68050,45050
1722352961.5942752,50,20000,69000,69000,24050,24050,32050,21000,68050,45050
1722352962.611098,50,20000,69000,68000,24050,24050,32050,21000,68050,45050
1722352963.627762,50,20000,68000,68000,24050,24050,32050,21000,69050,45050
1722352964.644446,50,20000,69000,69000,24050,24050,32050,21000,69050,45050
1722352965.660952,50,20000,69000,69000,24050,24050,32050,21000,69050,45050
1722352966.6775372,50,20000,69000,69000,24050,24050,31050,21000,69050,45050
1722352967.6939101,50,20000,69000,69000,24050,24050,32050,21000,69050,45050
1722352968.710377,50,20000,69000,69000,24050,24050,32050,21000,69050,45050
1722352969.7270544,50,20000,69000,69000,24050,24050,32050,21000,69050,45050
1722352970.7437403,50,20000,69000,69000,24050,24050,32050,21000,69050,46050
1722352971.7602754,50,20000,70000,70000,24050,24050,31050,21000,69050,46050
1722352972.7769814,50,20000,70000,70000,24050,24050,32050,21000,69050,46050
1722352973.7934844,50,20000,70000,70000,24050,24050,31050,21000,69050,46050
1722352974.8119483,50,20000,70000,70000,24050,24050,31050,21000,70050,46050
1722352975.8286126,50,20000,70000,70000,24050,24050,31050,21000,70050,46050
1722352976.8456357,50,20000,71000,71000,24050,24050,31050,21000,70050,46050
1722352977.8620973,50,20000,71000,71000,24050,24050,32050,21000,70050,46050
1722352978.878816,50,20000,70000,70000,24050,24050,31050,21000,70050,46050
1722352979.8948689,50,20000,70000,70000,24050,24050,32050,21000,70050,46050
1722352980.911341,50,20000,71000,71000,24050,24050,31050,21000,70050,46050
1722352981.9281735,50,20000,71000,71000,24050,24050,31050,21000,70050,46050
1722352982.9447906,50,20000,71000,71000,24050,24050,31050,21000,70050,46050
1722352983.9613914,50,20000,71000,71000,24050,24050,32050,21000,70050,46050
1722352984.978206,50,20000,70000,70000,24050,24050,31050,21000,70050,46050
1722352985.9949703,50,20000,71000,71000,24050,24050,31050,21000,70050,47050
1722352987.0111692,50,20000,71000,71000,24050,24050,32050,21000,71050,47050
1722352988.0277574,50,20000,71000,71000,24050,24050,31050,21000,71050,47050
1722352989.04439,50,20000,71000,71000,24050,24050,32050,21000,71050,47050
1722352990.0610373,50,20000,71000,71000,24050,24050,31050,21000,71050,47050
1722352991.077971,50,20000,71000,71000,24050,24050,31050,21000,71050,47050
1722352992.0950775,50,20000,71000,71000,24050,24050,32050,21000,71050,47050
1722352993.1116257,50,20000,72000,72000,24050,24050,32050,21000,71050,47050
1722352994.128258,50,20000,72000,72000,24050,24050,32050,21000,72050,47050
1722352995.1448433,50,20000,73000,73000,24050,24050,31050,21000,72050,47050
1722352996.161302,50,20000,72000,72000,24050,24050,32050,21000,72050,47050
1722352997.1780884,50,20000,72000,72000,24050,24050,31050,21000,72050,47050
1722352998.1947825,50,20000,73000,73000,24050,24050,32050,21000,72050,47050
1722352999.2115803,50,20000,73000,73000,24050,24050,32050,21000,72050,47050
1722353000.2286792,50,20000,74000,74000,24050,24050,32050,21000,72050,48050
1722353001.2454896,50,20000,72000,72000,24050,24050,31050,21000,72050,48050
1722353002.2621,50,20000,73000,73000,24050,24050,31050,21000,72050,48050
1722353003.2791767,50,20000,73000,73000,24050,24050,32050,21000,72050,48050
1722353004.2956939,50,20000,73000,73000,24050,24050,32050,21000,73050,48050
1722353005.3121026,50,20000,73000,73000,24050,24050,31050,21000,73050,48050
1722353006.3284652,50,20000,73000,73000,24050,24050,31050,21000,73050,48050
1722353007.3454556,50,20000,74000,74000,24050,24050,31050,21000,73050,48050
1722353008.3621948,50,20000,73000,73000,24050,24050,32050,21000,73050,48050
1722353009.3789642,50,20000,73000,73000,24050,24050,31050,21000,73050,48050
1722353010.3963537,50,20000,73000,73000,24050,24050,31050,21000,73050,48050
1722353011.4130757,50,20000,74000,74000,24050,24050,31050,21000,73050,48050
1722353012.4296753,50,20000,73000,73000,24050,24050,32050,21000,73050,48050
1722353013.4456775,50,20000,73000,73000,24050,24050,32050,21000,73050,48050
1722353014.4621823,50,20000,73000,73000,24050,24050,32050,21000,73050,48050
1722353015.479193,50,20000,73000,73000,24050,24050,32050,21000,73050,48050
1722353016.49511,50,20000,75000,75000,24050,24050,32050,21000,73050,48050
1722353017.5119848,50,20000,74000,74000,24050,24050,32050,21000,73050,49050
1722353018.5286884,50,20000,74000,74000,24050,24050,32050,21000,73050,49050
1722353019.5451677,50,20000,74000,74000,24050,24050,32050,21000,73050,49050
1722353020.562091,50,20000,73000,73000,24050,24050,32050,21000,73050,49050
1722353021.579204,50,20000,74000,74000,24050,24050,32050,21000,73050,49050
1722353022.595888,50,20000,74000,74000,24050,24050,32050,21000,73050,49050
1722353023.6122973,50,20000,74000,74000,24050,24050,33050,21000,74050,49050
1722353024.6293364,50,20000,74000,74000,24050,24050,32050,21000,74050,49050
1722353025.6464214,50,20000,75000,74000,24050,24050,32050,21000,74050,49050
1722353026.6633806,50,20000,75000,75000,24050,24050,32050,21000,74050,49050
1722353027.6798894,50,20000,75000,75000,24050,24050,32050,21000,74050,49050
1722353028.6963902,50,20000,74000,74000,24050,24050,32050,21000,74050,49050
1722353029.712947,50,20000,74000,74000,24050,24050,32050,21000,74050,49050
1722353030.7297492,50,20000,75000,75000,24050,24050,32050,21000,75050,49050
1722353031.7463837,50,20000,75000,75000,24050,24050,32050,21000,75050,49050
1722353032.7633302,50,20000,75000,75000,24050,24050,32050,21000,75050,49050
1722353033.779912,50,20000,75000,75000,24050,24050,31050,21000,75050,49050
1722353034.796456,50,20000,76000,76000,24050,24050,32050,21000,75050,49050
1722353035.8130245,50,20000,75000,75000,24050,24050,32050,21000,75050,49050
1722353036.8297617,50,20000,75000,75000,24050,24050,32050,21000,75050,50050
1722353037.8464496,50,20000,76000,76000,24050,24050,32050,24000,75050,50050
1722353038.8626142,50,20000,76000,76000,24050,24050,32050,24000,75050,50050
1722353039.8792222,50,20000,76000,76000,24050,24050,32050,25000,75050,50050
1722353040.8946197,50,20000,76000,76000,24050,24050,32050,25000,75050,50050
1722353041.9115226,50,20000,75000,75000,24050,24050,32050,25000,75050,50050
1722353042.9284642,50,20000,74000,74000,24050,24050,32050,25000,75050,50050
1722353043.9447105,50,20000,75000,75000,24050,24050,32050,25000,75050,50050
1722353044.9607546,50,20000,75000,75000,24050,24050,32050,25000,75050,50050
1722353045.9780653,50,20000,75000,75000,24050,24050,32050,23000,75050,50050
1722353046.9949362,50,20000,76000,76000,24050,24050,32050,23000,75050,50050
1722353048.0117054,50,20000,76000,76000,24050,24050,32050,25000,76050,50050
1722353049.0276558,50,20000,77000,77000,24050,24050,32050,25000,76050,50050
1722353050.0444453,50,20000,75000,76000,24050,24050,32050,23000,76050,50050
1722353051.0612266,50,20000,76000,76000,24050,24050,32050,23000,76050,50050
1722353052.0781357,50,20000,76000,76000,24050,24050,32050,23000,76050,50050
1722353053.0946772,50,20000,76000,76000,24050,24050,32050,22000,76050,50050
1722353054.1114576,50,20000,76000,76000,24050,24050,32050,23000,76050,50050
1722353055.1268744,50,20000,76000,76000,24050,24050,32050,25000,76050,51050
1722353056.1440384,50,20000,76000,76000,24050,24050,32050,25000,76050,51050
1722353057.1604276,50,20000,76000,76000,24050,24050,32050,23000,76050,51050
1722353058.176989,50,20000,76000,76000,24050,24050,32050,22000,76050,51050
1722353059.1934257,50,20000,76000,76000,24050,24050,32050,23000,76050,51050
1722353060.2100713,50,20000,76000,76000,24050,24050,32050,23000,76050,51050
1722353061.226971,50,20000,76000,76000,24050,24050,32050,22000,76050,51050
1722353062.2432966,50,20000,76000,76000,24050,24050,32050,22000,76050,51050
1722353063.260034,50,20000,76000,76000,24050,24050,32050,22000,76050,51050
1722353064.2766247,50,20000,76000,76000,24050,24050,33050,22000,76050,51050
1722353065.2931113,50,20000,76000,76000,24050,24050,32050,24000,76050,51050
1722353066.3093643,50,20000,76000,76000,24050,24050,32050,24000,76050,51050
1722353067.3262875,50,20000,76000,76000,24050,24050,33050,23000,76050,51050
1722353068.3442295,50,20000,76000,76000,24050,24050,32050,22000,76050,51050
1722353069.3605444,50,20000,76000,76000,24050,24050,32050,22000,76050,51050
1722353070.3771305,50,20000,76000,76000,24050,24050,32050,23000,76050,51050
1722353071.393937,50,20000,76000,76000,24050,24050,33050,22000,76050,51050
1722353072.4104102,50,20000,76000,76000,24050,24050,32050,22000,76050,51050
1722353073.4273117,50,20000,76000,76000,24050,24050,33050,22000,76050,51050
1722353074.4440007,50,20000,76000,76000,24050,24050,33050,22000,76050,51050
1722353075.4616985,50,20000,76000,76000,24050,24050,33050,22000,76050,52050
1722353076.4786394,50,20000,75000,75000,24050,24050,33050,22000,76050,51050
1722353077.4952478,50,20000,75000,75000,24050,24050,33050,22000,76050,52050
1722353078.5119686,50,20000,76000,76000,24050,24050,33050,22000,76050,52050
1722353079.5282912,50,20000,76000,76000,24050,24050,33050,24000,76050,52050
1722353080.5452888,50,20000,76000,76000,24050,24050,33050,23000,76050,52050
1722353081.5618033,50,20000,76000,76000,24050,24050,33050,23000,76050,52050
1722353082.578475,50,20000,76000,76000,24050,24050,33050,23000,75050,52050
1722353083.5964928,50,20000,76000,76000,24050,24050,33050,23000,76050,52050
1722353084.6132417,50,20000,75000,75000,24050,24050,34050,23000,75050,52050
1722353085.6291814,50,20000,75000,75000,24050,24050,33050,22000,75050,52050
1722353086.6457987,50,20000,76000,76000,24050,24050,33050,22000,76050,52050
1722353087.6626618,50,20000,75000,75000,24050,24050,33050,22000,76050,52050
1722353088.6792681,50,20000,75000,75000,24050,24050,33050,22000,75050,52050
1722353089.696293,50,20000,76000,76000,24050,24050,33050,22000,76050,52050
1722353090.712933,50,20000,76000,76000,24050,24050,34050,22000,75050,52050
1722353091.7290773,50,20000,75000,75000,24050,24050,33050,22000,75050,52050
1722353092.7460828,50,20000,76000,76000,24050,24050,33050,22000,75050,52050
1722353093.7623637,50,20000,75000,75000,24050,24050,33050,22000,75050,52050
1722353094.7792537,50,20000,75000,75000,24050,24050,33050,22000,75050,52050
1722353095.7962027,50,20000,75000,75000,24050,24050,33050,22000,75050,52050
1722353096.812856,50,20000,75000,75000,24050,24050,33050,22000,75050,52050
1722353097.8287814,50,20000,76000,76000,24050,24050,34050,22000,75050,52050
1722353098.8449676,50,20000,75000,75000,24050,24050,33050,24000,75050,52050
1722353099.8607345,50,20000,75000,75000,24050,24050,33050,25000,75050,52050
1722353100.8756046,50,20000,75000,75000,24050,24050,33050,25000,75050,52050
1722353101.8926442,50,20000,75000,75000,24050,24050,34050,23000,75050,52050
1722353102.9097898,50,20000,75000,75000,24050,25050,34050,23000,75050,52050
1722353103.926659,50,20000,75000,75000,24050,24050,34050,23000,75050,52050
1722353104.9433014,50,20000,74000,74000,24050,24050,34050,23000,75050,52050
1722353105.960344,50,20000,75000,75000,24050,24050,33050,23000,75050,52050
1722353106.977243,50,20000,74000,75000,24050,24050,33050,23000,75050,52050
1722353107.993915,50,20000,74000,74000,24050,24050,34050,22000,74050,52050
1722353109.01062,50,20000,74000,74000,24050,24050,34050,22000,74050,52050
1722353110.027407,50,20000,75000,74000,24050,25050,34050,23000,74050,52050
1722353111.0438912,50,20000,74000,74000,24050,24050,34050,23000,74050,52050
1722353112.060849,50,20000,73000,73000,24050,24050,34050,22000,74050,52050
1722353113.0776014,50,20000,73000,73000,24050,25050,34050,23000,74050,52050
1722353114.0946028,50,20000,73000,73000,24050,24050,34050,23000,74050,52050
1722353115.1108568,50,20000,74000,74000,24050,25050,36050,23000,74050,52050
1722353116.1274273,50,20000,74000,74000,24050,24050,34050,23000,74050,52050
1722353117.143816,50,20000,74000,74000,24050,25050,34050,23000,74050,52050
1722353118.1608827,50,20000,75000,75000,24050,25050,34050,23000,74050,52050
1722353119.1774626,50,20000,73000,73000,24050,25050,34050,22000,74050,52050
1722353120.1944022,50,20000,74000,74000,24050,24050,34050,22000,74050,52050
1722353121.2122855,50,20000,74000,74000,24050,25050,34050,22000,74050,52050
1722353122.2287428,50,20000,74000,74000,24050,24050,34050,22000,73050,52050
1722353123.2456472,50,20000,73000,73000,24050,24050,34050,22000,73050,52050
1722353124.2621245,50,20000,73000,73000,24050,25050,34050,22000,73050,52050
1722353125.2787364,50,20000,74000,74000,24050,25050,34050,22000,73050,52050
