time,zone2_TSKN,zone0_INT3400 Thermal,zone9_x86_pkg_temp,zone7_TCPU_PCI,zone5_HTPP,zone3_CHRG,zone1_TMEM,zone8_iwlwifi_1,zone6_TCPU,zone4_AMBF
1722360953.2426476,50,20000,57000,57000,27050,27050,35050,25000,55050,45050
1722360954.2581975,50,20000,57000,57000,27050,27050,36050,25000,57050,45050
1722360955.2733698,50,20000,57000,57000,27050,27050,36050,27000,57050,45050
1722360956.289095,50,20000,57000,57000,27050,27050,35050,27000,57050,45050
1722360957.3045926,50,20000,57000,57000,27050,27050,35050,25000,57050,45050
1722360958.3204274,50,20000,70000,70000,27050,27050,36050,25000,57050,45050
1722360959.3349237,50,20000,88000,88000,27050,27050,36050,25000,77050,45050
1722360960.348706,50,20000,93000,93000,27050,27050,35050,25000,92050,45050
1722360961.362536,50,20000,95000,95000,27050,27050,36050,25000,94050,46050
1722360962.3763437,50,20000,96000,96000,27050,27050,36050,25000,95050,46050
1722360963.3907573,50,20000,96000,96000,27050,27050,36050,25000,96050,46050
1722360964.4047446,50,20000,96000,96000,27050,27050,36050,25000,96050,46050
1722360965.4182918,50,20000,86000,86000,27050,27050,36050,25000,97050,46050
1722360966.4324663,50,20000,80000,80000,27050,27050,36050,25000,80050,46050
1722360967.446833,50,20000,80000,80000,27050,27050,36050,25000,79050,46050
1722360968.4614198,50,20000,80000,80000,27050,27050,35050,25000,79050,46050
1722360969.4749236,50,20000,80000,80000,27050,27050,35050,24000,78050,46050
1722360970.4893627,50,20000,79000,79000,27050,27050,36050,24000,78050,46050
1722360971.503612,50,20000,78000,78000,27050,27050,35050,24000,78050,46050
1722360972.5177147,50,20000,80000,80000,27050,27050,35050,25000,78050,46050
1722360973.530924,50,20000,80000,80000,27050,27050,35050,24000,78050,46050
1722360974.5450149,50,20000,80000,80000,27050,27050,35050,24000,78050,46050
1722360975.5589259,50,20000,78000,78000,27050,27050,35050,24000,78050,46050
1722360976.5730588,50,20000,79000,79000,27050,27050,35050,24000,78050,46050
1722360977.586926,50,20000,80000,80000,27050,27050,35050,24000,78050,46050
1722360978.6015272,50,20000,79000,79000,27050,27050,36050,24000,79050,46050
1722360979.6149242,50,20000,78000,78000,27050,27050,35050,24000,79050,46050
1722360980.6290863,50,20000,78000,78000,27050,27050,35050,24000,79050,46050
1722360981.6429234,50,20000,79000,79000,27050,27050,36050,24000,78050,46050
1722360982.657305,50,20000,78000,78000,27050,27050,35050,24000,78050,46050
1722360983.6716669,50,20000,79000,79000,27050,27050,35050,27000,78050,46050
1722360984.6849453,50,20000,79000,79000,27050,27050,35050,27000,78050,46050
1722360985.6989286,50,20000,80000,80000,27050,27050,35050,25000,78050,46050
1722360986.7128997,50,20000,79000,79000,27050,27050,36050,25000,78050,46050
1722360987.7269292,50,20000,79000,79000,27050,27050,35050,25000,78050,46050
1722360988.741425,50,20000,79000,79000,27050,27050,36050,25000,78050,46050
1722360989.7552314,50,20000,79000,79000,27050,27050,35050,25000,79050,46050
1722360990.7695777,50,20000,78000,78000,27050,27050,35050,25000,78050,46050
1722360991.7829223,50,20000,80000,80000,27050,27050,36050,24000,78050,46050
1722360992.797025,50,20000,80000,80000,27050,27050,36050,25000,78050,46050
1722360993.8109248,50,20000,78000,78000,27050,27050,35050,25000,78050,46050
1722360994.825478,50,20000,80000,80000,27050,27050,35050,24000,78050,46050
1722360995.8389292,50,20000,80000,80000,27050,27050,35050,25000,78050,46050
1722360996.8533335,50,20000,79000,79000,27050,27050,36050,24000,78050,46050
1722360997.866929,50,20000,80000,80000,27050,27050,35050,24000,78050,46050
1722360998.881096,50,20000,78000,78000,27050,27050,36050,24000,78050,46050
1722360999.89493,50,20000,80000,80000,27050,27050,35050,24000,78050,46050
1722361000.908949,50,20000,80000,80000,27050,27050,36050,24000,78050,46050
1722361001.9229302,50,20000,78000,78000,27050,27050,35050,24000,79050,46050
1722361002.9371252,50,20000,79000,79000,27050,27050,35050,24000,78050,46050
1722361003.9509313,50,20000,79000,79000,27050,27050,35050,24000,78050,46050
1722361004.965178,50,20000,79000,79000,27050,27050,36050,24000,79050,46050
1722361005.978929,50,20000,78000,78000,27050,27050,35050,24000,78050,46050
1722361006.9931972,50,20000,80000,80000,27050,27050,35050,24000,78050,46050
1722361008.006927,50,20000,79000,79000,27050,27050,35050,24000,78050,46050
1722361009.0211189,50,20000,78000,78000,27050,27050,35050,24000,78050,46050
1722361010.034936,50,20000,79000,79000,27050,27050,36050,24000,78050,46050
1722361011.0493343,50,20000,78000,78000,27050,27050,35050,24000,78050,46050
1722361012.0629282,50,20000,80000,80000,27050,27050,35050,24000,78050,46050
1722361013.0749333,50,20000,80000,80000,27050,27050,35050,24000,78050,46050
1722361014.089321,50,20000,78000,78000,27050,27050,35050,24000,78050,46050
1722361015.102928,50,20000,78000,78000,27050,27050,35050,24000,78050,46050
1722361016.1174593,50,20000,80000,80000,27050,27050,35050,24000,78050,46050
1722361017.1309328,50,20000,78000,78000,27050,27050,35050,24000,78050,46050
1722361018.1451426,50,20000,80000,80000,27050,27050,36050,24000,78050,46050
1722361019.1589353,50,20000,78000,78000,27050,27050,35050,24000,78050,46050
1722361020.1736915,50,20000,79000,79000,27050,27050,35050,24000,78050,46050
1722361021.1869335,50,20000,78000,78000,27050,27050,35050,24000,78050,46050
1722361022.201482,50,20000,79000,79000,27050,27050,36050,24000,78050,46050
1722361023.216004,50,20000,80000,79000,27050,27050,35050,24000,78050,46050
1722361024.230088,50,20000,79000,79000,27050,27050,35050,24000,78050,46050
1722361025.2441685,50,20000,79000,79000,27050,27050,36050,24000,78050,46050
1722361026.258678,50,20000,78000,78000,27050,27050,35050,24000,78050,46050
1722361027.272165,50,20000,79000,79000,27050,27050,35050,27000,78050,46050
1722361028.286298,50,20000,78000,78000,27050,27050,35050,27000,78050,46050
1722361029.2989302,50,20000,78000,78000,27050,27050,36050,27000,78050,46050
1722361030.3134863,50,20000,80000,80000,27050,27050,35050,25000,78050,46050
1722361031.3269367,50,20000,77000,77000,27050,27050,35050,25000,78050,46050
1722361032.341196,50,20000,78000,78000,27050,27050,36050,25000,79050,46050
1722361033.3549225,50,20000,79000,79000,27050,27050,35050,25000,78050,46050
