time,intel-rapl-mmio:0,intel-rapl:0
1722362219.267988,200639471957,200639471957
1722362220.2841396,200669133075,200669133075
1722362221.300217,200698537663,200698537663
1722362222.3163095,200727533438,200727533438
1722362223.3317642,200756966590,200756966590
1722362224.346666,200799554677,200799554677
1722362225.3597102,200873205672,200873205672
1722362226.3730023,200971760901,200971760901
1722362227.3858597,201071742213,201071742213
1722362228.399844,201172504955,201172504955
1722362229.4135432,201273216306,201273216306
1722362230.4278986,201373912154,201373912154
1722362231.4418046,201473210240,201473210240
1722362232.4559612,201538800770,201538800770
1722362233.4698877,201604442204,201604442204
1722362234.4838705,201670092793,201670092793
1722362235.498014,201735683811,201735683811
1722362236.511692,201801503772,201801503772
1722362237.5257766,201867012149,201867012149
1722362238.5393875,201932594501,201932594501
1722362239.5534358,201998275668,201998275668
1722362240.5672364,202063893054,202063893054
1722362241.5813894,202129584719,202129584719
1722362242.5961251,202195300493,202195300493
1722362243.610145,202261073396,202261073396
1722362244.6236057,202326634020,202326634020
1722362245.6381319,202392355531,202392355531
1722362246.651406,202457993241,202457993241
1722362247.6653912,202523672089,202523672089
1722362248.6798215,202589321274,202589321274
1722362249.6941993,202655129639,202655129639
1722362250.7077153,202720869277,202720869277
1722362251.7222643,202786588897,202786588897
1722362252.735746,202852256880,202852256880
1722362253.7499285,202918006407,202918006407
1722362254.763609,202983664930,202983664930
1722362255.777464,203049428495,203049428495
1722362256.7919416,203115216229,203115216229
1722362257.8059535,203180957089,203180957089
1722362258.819427,203246599194,203246599194
1722362259.83359,203312312404,203312312404
1722362260.8477564,203378004619,203378074626
1722362261.8617713,203443816951,203443816951
1722362262.8758092,203509499094,203509499094
1722362263.8902214,203575330042,203575330042
1722362264.9038875,203641086282,203641086282
1722362265.9180615,203706770196,203706770196
1722362266.9316828,203772530220,203772530220
1722362267.9453638,203838273888,203838273888
1722362268.9588273,203903936927,203903936927
1722362269.972887,203969702994,203969702994
1722362270.9871001,204035428778,204035428778
1722362272.0015972,204101235861,204101235861
1722362273.015751,204166927953,204166927953
1722362274.0298796,204232708974,204232708974
1722362275.043559,204298459904,204298459904
1722362276.0574133,204364208515,204364208515
1722362277.0720072,204429978916,204429978916
1722362278.0862901,204495772571,204495772571
1722362279.099588,204561476321,204561476321
1722362280.1139364,204627278459,204627278459
1722362281.1270072,204692944429,204692944429
1722362282.141177,204758672471,204758672471
1722362283.155621,204824419434,204824419434
1722362284.1697462,204890206375,204890206375
1722362285.1832948,204955901520,204955901520
1722362286.197195,205021679610,205021679610
1722362287.2115414,205087291747,205087291747
1722362288.2257776,205153075636,205153075636
1722362289.2397542,205218789457,205218789457
1722362290.2540066,205284529401,205284529401
1722362291.2677672,205350305173,205350305173
1722362292.2820387,205416120312,205416120312
1722362293.29539,205481762783,205481762783
1722362294.3094184,205547589092,205547589092
1722362295.3238525,205613283626,205613283626
1722362296.338255,205679049388,205679049388
1722362297.3514922,205744837305,205744837305
1722362298.3658373,205810574747,205810574747
1722362299.3800337,205876484185,205876484185
1722362300.3941305,205942148629,205942148629
1722362301.40781,206007984092,206007984092
1722362302.4218884,206073837012,206073837012
1722362303.4361405,206139555716,206139625540
1722362304.4500635,206205287115,206205287115
1722362305.4636934,206270960836,206270960836
1722362306.4775515,206336795384,206336795384
1722362307.4918132,206402534779,206402534779
1722362308.5058088,206468242863,206468242863
1722362309.5196974,206534035419,206534035419
1722362310.5327652,206599744296,206599744296
1722362311.5458457,206665412768,206665412768
1722362312.558497,206731059451,206731059451
1722362313.5713236,206796760393,206796760393
1722362314.5844438,206862451143,206862451143
1722362315.5983832,206928207139,206928207139
1722362316.6115413,206993835695,206993835695
1722362317.6245587,207059687760,207059687760
1722362318.6376207,207125267914,207125267914
1722362319.6503394,207190965378,207190965378
1722362320.663669,207256666626,207256666626
1722362321.6778333,207322413711,207322413711
1722362322.6915984,207388243681,207388243681
1722362323.7059557,207453964582,207453964582
1722362324.71976,207519650205,207519650205
1722362325.7336657,207585670727,207585670727
1722362326.7476742,207651498440,207651498440
1722362327.7615933,207717225078,207717225078
1722362328.775886,207782933650,207782933650
1722362329.7899253,207848672801,207848672801
1722362330.8036695,207914407129,207914407129
1722362331.8178701,207980200113,207980200113
1722362332.8325322,208046030205,208046030205
1722362333.8463538,208111697335,208111697335
1722362334.8596725,208177275353,208177275353
1722362335.873806,208243054542,208243054542
1722362336.8877509,208308786613,208308786613
1722362337.9024858,208374569465,208374569465
1722362338.9156723,208440201926,208440201926
1722362339.9297957,208505969519,208505969519
1722362340.9439318,208571693716,208571693716
1722362341.9581451,208637355169,208637355169
1722362342.972089,208703202046,208703202046
1722362343.985952,208768816990,208768816990
1722362344.9999542,208834564686,208834564686
1722362346.0141482,208900360111,208900360111
1722362347.0278583,208966041766,208966041766
1722362348.0419586,209031889803,209031889803
1722362349.0558639,209097564318,209097564318
1722362350.0702517,209163262880,209163262880
1722362351.083796,209228987382,209228987382
1722362352.0981503,209294793366,209294793366
1722362353.1117935,209360536606,209360536606
1722362354.125998,209426280456,209426280456
1722362355.1400595,209492004836,209492004836
1722362356.1542418,209557796904,209557796904
1722362357.1677544,209623441389,209623441389
1722362358.1822221,209689262876,209689262876
1722362359.19607,209754915845,209754915845
1722362360.210074,209820723111,209820723111
1722362361.223718,209886530743,209886530743
1722362362.238271,209952283626,209952283626
1722362363.2520063,210017962230,210017962230
1722362364.266119,210083698146,210083698146
1722362365.2797706,210149426737,210149426737
1722362366.2943096,210215151239,210215151239
1722362367.307993,210280789865,210280789865
1722362368.3220537,210346605859,210346605859
1722362369.3362763,210412423012,210412423012
1722362370.3508093,210478278434,210478278434
1722362371.3652267,210543963325,210543963325
1722362372.379836,210609775534,210609775534
1722362373.3944645,210675546911,210675546911
1722362374.408617,210741427114,210741427114
1722362375.4231212,210807220769,210807220769
1722362376.4373076,210872970112,210872970112
1722362377.4511669,210938723972,210938723972
1722362378.465764,211004465564,211004465564
1722362379.4800243,211070154910,211070154910
1722362380.494132,211135837664,211135837664
1722362381.5076327,211201725130,211201725130
1722362382.5216978,211267442186,211267442186
1722362383.536105,211333196168,211333196168
