time,intel-rapl-mmio:0,intel-rapl:0
1722356527.897061,125969763515,125969763515
1722356528.9111736,126004194945,126004194945
1722356529.9256535,126038697603,126038697603
1722356530.9480762,126127969531,126127969531
1722356531.9672399,126325431916,126325431916
1722356532.9860394,126549376899,126549376899
1722356534.0051405,126767993893,126767993893
1722356535.0234087,126978972357,126978972357
1722356536.0430243,127182160435,127182160435
1722356537.0617843,127382001232,127382001232
1722356538.0803063,127576059573,127576059573
1722356539.098489,127765275642,127765275642
1722356540.1176336,127949719139,127949719139
1722356541.1370587,128075792791,128075869695
1722356542.1569471,128141590352,128141654012
1722356543.1761692,128207524143,128207524143
1722356544.1955252,128273390857,128273390857
1722356545.215396,128339345949,128339345949
1722356546.2352672,128405415482,128405415482
1722356547.255123,128471444366,128471444366
1722356548.274275,128537468855,128537468855
1722356549.2942176,128603570859,128603570859
1722356550.3142312,128669704784,128669704784
1722356551.3338807,128735831140,128735831140
1722356552.353883,128801996315,128801996315
1722356553.3739173,128868168998,128868168998
1722356554.3939068,128934357976,128934357976
1722356555.4140065,129000509967,129000509967
1722356556.4339788,129066784456,129066784456
1722356557.4539657,129133011825,129133011825
1722356558.4739287,129199282774,129199282774
1722356559.4939215,129265708629,129265708629
1722356560.5136132,129331887354,129331887354
1722356561.5334842,129398117958,129398117958
1722356562.5535069,129464366202,129464366202
1722356563.573222,129530636784,129530636784
1722356564.5930135,129596853594,129596853594
1722356565.6129766,129663137360,129663137360
1722356566.6329892,129729399825,129729470809
1722356567.6530151,129795724362,129795724362
1722356568.672762,129861936290,129861936290
1722356569.6926296,129928212671,129928212671
1722356570.7127,129994466407,129994466407
1722356571.7326362,130060777822,130060777822
1722356572.7525644,130127032047,130127032047
1722356573.7725747,130193321367,130193321367
1722356574.7924707,130259610199,130259610199
1722356575.812701,130325910261,130325910261
1722356576.8327637,130392277400,130392277400
1722356577.8516436,130458512582,130458512582
1722356578.8714712,130524786278,130524786278
1722356579.8913941,130591059362,130591059362
1722356580.91129,130657351246,130657351246
1722356581.9312136,130723606997,130723606997
1722356582.9511826,130789989822,130789989822
1722356583.9703574,130856228727,130856228727
1722356584.9903054,130922571758,130922571758
1722356586.0102162,130988785822,130988863031
1722356587.0308075,131055140816,131055140816
1722356588.0505507,131121442160,131121442160
1722356589.0710201,131187749485,131187749485
1722356590.0911138,131254023241,131254023241
1722356591.1110914,131320322266,131320322266
1722356592.1303477,131386643019,131386643019
1722356593.1503506,131452914700,131452914700
1722356594.1702905,131519198283,131519198283
1722356595.19004,131585427849,131585427849
1722356596.2099664,131651773200,131651773200
1722356597.2299051,131718081624,131718081624
1722356598.2500126,131784361544,131784361544
1722356599.269937,131850726059,131850726059
1722356600.289007,131917106749,131917106749
1722356601.3089523,131983451000,131983451000
1722356602.328927,132049735682,132049735682
1722356603.3486736,132116001076,132116001076
1722356604.368576,132182277335,132182277335
1722356605.38905,132248533574,132248533574
1722356606.4089663,132314898455,132314898455
1722356607.428782,132381144318,132381144318
1722356608.4486656,132447468001,132447468001
1722356609.4687147,132513751034,132513751034
1722356610.4848037,132579822276,132579822276
1722356611.5050063,132646210656,132646210656
1722356612.5250208,132712487708,132712487708
1722356613.5447743,132778787160,132778787160
1722356614.5648024,132845085635,132845085635
1722356615.5846536,132911391435,132911391435
1722356616.60452,132977762115,132977762115
1722356617.6245666,133044053266,133044053266
1722356618.6435158,133110294978,133110294978
1722356619.6635423,133176585580,133176585580
1722356620.6835115,133242873680,133242946616
1722356621.7007015,133309017736,133309017736
1722356622.716815,133375044179,133375044179
1722356623.7337604,133441136478,133441136478
1722356624.7493324,133507149920,133507149920
1722356625.7653778,133573159516,133573159516
1722356626.7813077,133639168380,133639168380
1722356627.7973027,133705199461,133705199461
1722356628.813283,133771218579,133771218579
1722356629.8292513,133837261379,133837261379
1722356630.8452444,133903253642,133903253642
1722356631.861121,133969321649,133969321649
1722356632.8771129,134035346504,134035346504
1722356633.893229,134101345847,134101345847
1722356634.9093823,134167412939,134167412939
1722356635.9253964,134233628590,134233628590
1722356636.941361,134299601504,134299601504
1722356637.9574003,134365632829,134365632829
1722356638.9726586,134431671356,134431671356
1722356639.988141,134497635848,134497635848
1722356641.0045812,134563721861,134563721861
1722356642.0204606,134629669324,134629669324
1722356643.0366254,134695804958,134695804958
1722356644.0527217,134761914957,134761914957
1722356645.0687108,134828083428,134828083428
1722356646.0849698,134893969978,134893969978
1722356647.101235,134960009604,134960009604
1722356648.11844,135026080907,135026080907
1722356649.1351302,135092201831,135092201831
1722356650.1513839,135158284609,135158284609
1722356651.167616,135224392777,135224392777
1722356652.1835601,135290405364,135290405364
1722356653.1996655,135356409712,135356409712
1722356654.2157066,135422607846,135422607846
1722356655.232075,135488643626,135488643626
1722356656.2481618,135554668848,135554668848
1722356657.2644002,135620669411,135620669411
1722356658.280675,135686784232,135686784232
1722356659.296936,135752829229,135752829229
1722356660.313238,135818912251,135818912251
1722356661.3292077,135884963779,135884963779
1722356662.345377,135951050523,135951050523
1722356663.3613572,136017068543,136017068543
1722356664.377459,136083104446,136083104446
1722356665.3933418,136149146269,136149146269
1722356666.4103348,136215190716,136215190716
1722356667.426248,136281231136,136281231136
1722356668.4437973,136347350717,136347428415
1722356669.4600332,136413515282,136413515282
1722356670.4763677,136479584205,136479584205
1722356671.4926627,136545698904,136545698904
1722356672.508701,136611725529,136611725529
1722356673.5247536,136677642474,136677701617
1722356674.540854,136743714144,136743714144
1722356675.5572429,136809726670,136809726670
1722356676.5733583,136875810546,136875810546
1722356677.5896978,136941816420,136941816420
1722356678.605335,137007836209,137007836209
1722356679.621432,137073946269,137073946269
1722356680.637432,137139976984,137139976984
1722356681.654101,137206109200,137206109200
1722356682.669462,137272070152,137272070152
1722356683.6853232,137338097144,137338097144
1722356684.7013397,137404153798,137404153798
1722356685.7174625,137470148258,137470148258
1722356686.7333212,137536163165,137536163165
1722356687.7493658,137602252900,137602252900
1722356688.7652237,137668273911,137668273911
1722356689.781034,137734298888,137734298888
1722356690.7972069,137800313917,137800313917
1722356691.813549,137866381863,137866381863
1722356692.829461,137932438884,137932438884
1722356693.8452692,137998466669,137998466669
1722356694.8615396,138064486031,138064486031
1722356695.8773427,138130592734,138130592734
1722356696.8934343,138196603124,138196603124
1722356697.9092195,138262630482,138262630482
1722356698.9254858,138328649906,138328649906
1722356699.9411647,138394641619,138394641619
1722356700.9573457,138460678132,138460678132
1722356701.973234,138526748275,138526748275
1722356702.9894216,138592777342,138592777342
1722356704.0054133,138658779859,138658779859
1722356705.0227518,138724895656,138724895656
1722356706.0389428,138791002726,138791002726
1722356707.0550416,138857052117,138857052117
1722356708.0711462,138923179389,138923179389
1722356709.0873766,138989244589,138989244589
1722356710.103578,139055290929,139055290929
1722356711.1199517,139121372974,139121372974
1722356712.1360786,139187401674,139187401674
1722356713.1525629,139253497819,139253497819
1722356714.1697314,139319575958,139319575958
1722356715.1851773,139385596602,139385596602
1722356716.2009842,139451561399,139451561399
1722356717.2170546,139517636547,139517636547
1722356718.232632,139583633631,139583633631
1722356719.2487175,139649634195,139649634195
1722356720.2646341,139715683952,139715683952
1722356721.28056,139781705573,139781705573
1722356722.2965653,139847733114,139847733114
1722356723.312237,139913773594,139913773594
1722356724.3284688,139979793201,139979793201
1722356725.344689,140045839907,140045839907
1722356726.360971,140111850602,140111850602
1722356727.377164,140177866058,140177866058
1722356728.392716,140243886091,140243886091
1722356729.4086459,140310031186,140310031186
1722356730.424954,140376038280,140376038280
1722356731.4409907,140442119043,140442119043
1722356732.4570968,140508226967,140508226967
1722356733.4732695,140574291801,140574291801
1722356734.4906101,140640404180,140640404180
1722356735.5068102,140706460896,140706460896
1722356736.5225506,140772472995,140772472995
1722356737.5385838,140838503283,140838503283
1722356738.5545168,140904549256,140904549256
1722356739.5706527,140970575088,140970575088
1722356740.5867639,141036566801,141036566801
1722356741.6034355,141102769696,141102769696
1722356742.6193495,141168880000,141168880000
1722356743.6354828,141235034128,141235034128
1722356744.6514697,141300995568,141300995568
1722356745.6674337,141367090308,141367090308
1722356746.6834617,141433082571,141433082571
1722356747.6996276,141499178105,141499178105
1722356748.715752,141565213702,141565213702
1722356749.7317317,141631253145,141631253145
1722356750.7480974,141697310044,141697310044
1722356751.7646208,141763357116,141763357116
1722356752.779954,141829348707,141829348707
1722356753.7960494,141895424283,141895424283
1722356754.812141,141961452495,141961452495
1722356755.8284633,142027501826,142027501826
1722356756.8464098,142093620797,142093620797
1722356757.8628178,142159669761,142159669761
1722356758.8789618,142225710974,142225710974
1722356759.8949232,142291892262,142291892262
1722356760.912089,142358193606,142358193606
1722356761.9283645,142424263444,142424263444
1722356762.944484,142490312225,142490312225
1722356763.9604776,142556283004,142556283004
1722356764.975901,142622323301,142622323301
1722356765.9916162,142688362500,142688362500
1722356767.0076585,142754418910,142754418910
1722356768.023721,142820429361,142820429361
1722356769.039392,142886400445,142886400445
1722356770.0548332,142952440315,142952440315
1722356771.0709362,143018457724,143018457724
1722356772.087793,143084568333,143084568333
1722356773.1034636,143150538501,143150538501
1722356774.1195526,143216641299,143216641299
1722356775.1360548,143282680558,143282680558
1722356776.1511312,143348671844,143348671844
1722356777.1680913,143414735518,143414735518
1722356778.1836126,143480773679,143480773679
1722356779.200189,143546825878,143546825878
1722356780.216685,143612941798,143612941798
1722356781.2326586,143678978433,143678978433
1722356782.248733,143745024467,143745024467
1722356783.26462,143811006659,143811006659
1722356784.2806668,143877100545,143877100545
1722356785.2964957,143943121494,143943121494
1722356786.311279,144009030933,144009030933
1722356787.32776,144075186708,144075186708
1722356788.3436224,144141245072,144141245072
1722356789.3593307,144207212249,144207212249
1722356790.3756657,144273248701,144273248701
1722356791.391837,144339296994,144339296994
1722356792.4072661,144405333202,144405333202
1722356793.4231977,144471391321,144471391321
1722356794.4393866,144537381875,144537381875
1722356795.4550157,144603370231,144603370231
1722356796.4711437,144669442511,144669442511
1722356797.4877605,144735499532,144735555135
1722356798.504385,144801576938,144801576938
1722356799.520535,144867683031,144867683031
1722356800.5367188,144933826966,144933826966
1722356801.5530987,144999849380,144999849380
1722356802.569254,145065920988,145065920988
1722356803.5851426,145131911420,145131911420
1722356804.6015022,145197993404,145197993404
1722356805.617197,145263970957,145263970957
1722356806.633278,145330045068,145330045068
1722356807.6492922,145396100990,145396100990
1722356808.6655707,145462091910,145462091910
1722356809.68217,145528180242,145528180242
1722356810.6972785,145594141865,145594141865
1722356811.7134414,145660173617,145660173617
1722356812.729582,145726228746,145726228746
1722356813.745719,145792258301,145792258301
1722356814.7616115,145858272658,145858272658
1722356815.7773395,145924298796,145924298796
1722356816.7932825,145990343426,145990343426
1722356817.809252,146056483516,146056483516
1722356818.8253746,146122501474,146122501474
1722356819.8414931,146188629540,146188629540
1722356820.8568442,146254626441,146254626441
1722356821.873374,146320674063,146320674063
1722356822.8893209,146386723515,146386723515
1722356823.9060943,146452818500,146452818500
1722356824.9225497,146518910249,146518910249
1722356825.9387991,146584890122,146584890122
1722356826.9550822,146650986449,146650986449
1722356827.971487,146717007216,146717007216
1722356828.9877326,146783025845,146783025845
1722356830.003745,146849083232,146849083232
1722356831.020313,146915147333,146915147333
1722356832.037083,146981260079,146981260079
1722356833.05238,147047235740,147047235740
1722356834.0683458,147113253577,147113253577
1722356835.0835295,147179196462,147179196462
1722356836.0995963,147245264774,147245264774
1722356837.1150968,147311311541,147311386553
1722356838.132833,147377436738,147377523591
1722356839.1490011,147443546188,147443546188
1722356840.1663961,147509645811,147509645811
1722356841.182414,147575717542,147575717542
1722356842.1996393,147641814174,147641814174
1722356843.215862,147707801798,147707801798
1722356844.2329009,147773963921,147773963921
1722356845.2489526,147839940986,147839940986
1722356846.2656188,147906038962,147906038962
