time,zone2_TSKN,zone0_INT3400 Thermal,zone9_x86_pkg_temp,zone7_TCPU_PCI,zone5_HTPP,zone3_CHRG,zone1_TMEM,zone8_iwlwifi_1,zone6_TCPU,zone4_AMBF
1722357041.0758462,50,20000,41000,41000,24050,24050,32050,24000,36050,37050
1722357042.090507,50,20000,44000,44000,24050,24050,32050,21000,42050,37050
1722357043.1049366,50,20000,44000,44000,24050,24050,32050,21000,43050,37050
1722357044.1190178,50,20000,59000,59000,24050,24050,32050,21000,43050,37050
1722357045.142593,50,20000,92000,92000,24050,24050,32050,21000,64050,38050
1722357046.1618755,50,20000,98000,98000,24050,24050,32050,21000,92050,39050
1722357047.1805103,50,20000,100000,101000,24050,24050,32050,21000,97050,41050
1722357048.1961994,50,20000,100000,100000,24050,24050,32050,21000,99050,41050
1722357049.2124667,50,20000,100000,100000,24050,24050,32050,21000,99050,42050
1722357050.2273774,50,20000,100000,101000,24050,24050,32050,21000,99050,43050
1722357051.2424486,50,20000,100000,100000,24050,24050,32050,21000,99050,43050
1722357052.25698,50,20000,100000,100000,24050,24050,31050,24000,99050,44050
1722357053.2708588,50,20000,100000,101000,24050,24050,32050,24000,99050,44050
1722357054.2860758,50,20000,71000,71000,24050,24050,32050,22000,99050,45050
1722357055.302521,50,20000,66000,66000,24050,24050,32050,22000,77050,45050
1722357056.318734,50,20000,65000,65000,24050,24050,32050,22000,67050,44050
1722357057.3348615,50,20000,64000,64000,24050,24050,32050,22000,65050,44050
1722357058.3508635,50,20000,64000,64000,24050,24050,32050,21000,64050,44050
1722357059.3668604,50,20000,64000,64000,24050,24050,32050,21000,64050,44050
1722357060.382856,50,20000,64000,64000,24050,24050,32050,21000,64050,43050
1722357061.3988614,50,20000,64000,64000,24050,24050,32050,21000,64050,43050
1722357062.4148586,50,20000,65000,65000,24050,24050,32050,21000,64050,43050
1722357063.430861,50,20000,64000,64000,24050,24050,32050,22000,64050,43050
1722357064.4464195,50,20000,65000,65000,24050,24050,32050,21000,64050,43050
1722357065.4626021,50,20000,66000,66000,24050,24050,31050,21000,64050,43050
1722357066.478615,50,20000,65000,65000,24050,24050,32050,21000,64050,43050
1722357067.4948173,50,20000,65000,65000,24050,24050,32050,21000,65050,43050
1722357068.5108607,50,20000,65000,65000,24050,24050,32050,21000,65050,43050
