time,intel-rapl-mmio:0,intel-rapl:0
1722366590.84153,185775835203,185775835203
1722366591.8545685,185814486593,185814486593
1722366592.8684351,185853250166,185853250166
1722366593.8811986,185892050421,185892050421
1722366594.8941824,185930833158,185930833158
1722366595.9074764,185969665884,185969665884
1722366596.9207385,186008486097,186008486097
1722366597.934032,186047230627,186047230627
1722366598.9471405,186086046628,186086046628
1722366599.9605405,186124963399,186124963399
1722366600.9753973,186164118328,186164118328
1722366601.9899607,186203265811,186203265811
1722366603.0048046,186242354700,186242354700
1722366604.0195837,186281467515,186281467515
1722366605.0341852,186320589729,186320589729
1722366606.0491495,186359736357,186359736357
1722366607.0639935,186399014089,186399014089
1722366608.078592,186438183666,186438183666
1722366609.093038,186477578646,186477578646
1722366610.1072772,186516977776,186516977776
1722366611.1218238,186556368117,186556368117
1722366612.1367724,186595577795,186595577795
1722366613.1515455,186634952999,186634952999
1722366614.1662111,186674919449,186674919449
1722366615.1813927,186714595922,186714595922
1722366616.1961353,186754251644,186754251644
1722366617.210946,186793735185,186793735185
1722366618.2256021,186833176552,186833176552
1722366619.240513,186872626097,186872626097
1722366620.2553353,186911868489,186911868489
1722366621.269681,186950932354,186950932354
1722366622.2841647,186990014834,186990014834
1722366623.298947,187029129724,187029179285
1722366624.313209,187068592514,187068592514
1722366625.327506,187108362126,187108362126
1722366626.3426907,187148262354,187148262354
1722366627.3570344,187187928085,187187928085
1722366628.3713589,187227748723,187227748723
1722366629.386604,187267964196,187267964196
1722366630.4008434,187308248700,187308248700
1722366631.415526,187348513245,187348513245
1722366632.4304297,187388846516,187388846516
1722366633.4454951,187429158241,187429158241
1722366634.4603505,187469361507,187469361507
1722366635.4747872,187509140702,187509140702
1722366636.489491,187549231603,187549231603
1722366637.5046175,187589048030,187589048030
1722366638.519648,187628872635,187628872635
1722366639.5344262,187668776341,187668776341
1722366640.5494053,187708462824,187708462824
1722366641.5639553,187748184341,187748184341
1722366642.578548,187788083958,187788083958
1722366643.59328,187828048638,187828048638
1722366644.6080003,187867991468,187867991468
1722366645.6225863,187907790072,187907790072
1722366646.6368713,187947941276,187947941276
1722366647.6519117,187987849438,187987849438
1722366648.6662776,188027674958,188027674958
1722366649.6807916,188067569937,188067569937
1722366650.6952236,188107507640,188107507640
1722366651.710199,188147540496,188147540496
1722366652.7255077,188187721668,188187721668
1722366653.7401855,188227813606,188227813606
1722366654.754779,188267915127,188267915127
1722366655.7696376,188308041916,188308041916
1722366656.7845504,188348122685,188348122685
1722366657.7991056,188388093286,188388093286
1722366658.8137124,188428251326,188428251326
1722366659.8284364,188468699769,188468699769
1722366660.842957,188508975118,188508975118
1722366661.8577101,188549515725,188549515725
1722366662.8726866,188590030941,188590030941
1722366663.8872206,188630499526,188630499526
1722366664.901738,188671154207,188671154207
1722366665.9167151,188711667775,188711667775
1722366666.9313657,188752440315,188752440315
1722366667.9458108,188793134364,188793134364
1722366668.9602127,188833770917,188833770917
1722366669.9748557,188874435120,188874435120
1722366670.9896414,188915176654,188915176654
1722366672.0043292,188955909338,188955909338
1722366673.0187967,188996574211,188996574211
1722366674.0329154,189037260692,189037260692
1722366675.0475242,189078308133,189078308133
1722366676.0627654,189119457137,189119457137
1722366677.076996,189160458191,189160458191
1722366678.0922873,189201717180,189201717180
1722366679.1072025,189242826267,189242826267
1722366680.1221087,189283712087,189283712087
1722366681.13676,189324446907,189324446907
1722366682.1516838,189365352442,189365352442
1722366683.1653852,189406201215,189406201215
1722366684.1795418,189447026183,189447026183
1722366685.1933446,189487862505,189487862505
1722366686.2081127,189528784153,189528784153
1722366687.2218509,189569614981,189569614981
1722366688.2355766,189610646126,189610646126
1722366689.249516,189651558619,189651558619
1722366690.2645752,189692452191,189692452191
1722366691.2795238,189733357665,189733357665
1722366692.2937093,189774256425,189774256425
1722366693.308104,189815295565,189815295565
1722366694.3230793,189856196950,189856196950
1722366695.3378568,189897108954,189897108954
1722366696.352407,189937911767,189937911767
1722366697.3675532,189978688580,189978688580
1722366698.38248,190019567686,190019567686
1722366699.3968954,190060624100,190060624100
1722366700.4117835,190101573946,190101573946
1722366701.4254391,190142458607,190142458607
1722366702.4399385,190183379584,190183379584
1722366703.4551558,190224336144,190224336144
1722366704.4698436,190265365580,190265365580
1722366705.4844506,190306371945,190306371945
1722366706.499528,190347354811,190347354811
1722366707.514214,190388313019,190388313019
1722366708.5287426,190429259875,190429259875
1722366709.5428705,190470355168,190470355168
1722366710.5579157,190511346884,190511346884
1722366711.572738,190552368630,190552368630
1722366712.5877314,190593495660,190593495660
1722366713.6024249,190634831553,190634831553
1722366714.6171467,190676228176,190676228176
1722366715.6322124,190717288678,190717288678
1722366716.6471815,190774100911,190774100911
1722366717.6625748,190997301695,190997301695
1722366718.675828,191187085816,191187085816
1722366719.6905246,191366475310,191366475310
1722366720.7051604,191568226747,191568226747
1722366721.7182775,191705286943,191705286943
1722366722.7343566,191806589601,191806589601
1722366723.748367,191871264179,191871264179
1722366724.7612407,191936081762,191936081762
1722366725.7750616,192001677602,192001677602
1722366726.7911923,192068885987,192068885987
1722366727.8074644,192134561723,192134561723
1722366728.8213327,192198846287,192198846287
1722366729.8348484,192264581653,192264581653
1722366730.8508835,192331720764,192331720764
1722366731.8672256,192397728529,192397728529
1722366732.881015,192461898409,192461898409
1722366733.8949075,192527814256,192527814256
1722366734.910755,192595128048,192595128048
