time,zone2_TSKN,zone0_INT3400 Thermal,zone9_x86_pkg_temp,zone7_TCPU_PCI,zone5_HTPP,zone3_CHRG,zone1_TMEM,zone8_iwlwifi_1,zone6_TCPU,zone4_AMBF
1722366590.828624,50,20000,57000,57000,24050,25050,32050,24000,38050,36050
1722366591.8428938,50,20000,58000,58000,24050,25050,32050,22000,56050,36050
1722366592.8559327,50,20000,60000,60000,24050,25050,32050,22000,59050,36050
1722366593.8697946,50,20000,60000,60000,24050,25050,32050,22000,59050,36050
1722366594.8825538,50,20000,60000,60000,24050,25050,32050,22000,59050,37050
1722366595.8955536,50,20000,61000,61000,24050,25050,32050,22000,60050,37050
1722366596.908833,50,20000,60000,60000,24050,25050,32050,22000,60050,37050
1722366597.9221103,50,20000,61000,61000,24050,25050,32050,22000,60050,37050
1722366598.9353852,50,20000,61000,61000,24050,25050,32050,22000,60050,37050
1722366599.948502,50,20000,61000,61000,24050,25050,32050,22000,61050,38050
1722366600.961895,50,20000,62000,62000,24050,25050,32050,22000,61050,38050
1722366601.9767556,50,20000,62000,62000,24050,25050,32050,22000,61050,38050
1722366602.991319,50,20000,62000,62000,24050,25050,32050,22000,62050,38050
1722366604.00616,50,20000,62000,62000,24050,25050,32050,22000,62050,38050
1722366605.0209332,50,20000,62000,62000,24050,25050,32050,22000,62050,38050
1722366606.0355449,50,20000,62000,62000,24050,25050,32050,22000,62050,38050
1722366607.0505059,50,20000,61000,61000,24050,25050,32050,22000,62050,38050
1722366608.065346,50,20000,62000,62000,24050,25050,32050,22000,62050,38050
1722366609.0799465,50,20000,62000,62000,24050,25050,32050,22000,62050,38050
1722366610.0943928,50,20000,62000,62000,24050,25050,31050,22000,62050,38050
1722366611.1086292,50,20000,62000,62000,24050,25050,32050,22000,63050,39050
1722366612.123169,50,20000,65000,65000,24050,25050,31050,22000,62050,39050
1722366613.1381283,50,20000,63000,63000,24050,25050,32050,22000,63050,39050
1722366614.1529047,50,20000,63000,63000,24050,25050,32050,22000,63050,39050
1722366615.1675782,50,20000,65000,65000,24050,25050,32050,22000,63050,39050
1722366616.182736,50,20000,65000,65000,24050,25050,32050,22000,63050,39050
1722366617.1974788,50,20000,62000,62000,24050,25050,33050,22000,65050,39050
1722366618.2123053,50,20000,62000,62000,24050,25050,32050,22000,63050,39050
1722366619.226957,50,20000,63000,63000,24050,24050,32050,22000,64050,39050
1722366620.2418675,50,20000,63000,63000,24050,24050,32050,22000,64050,39050
1722366621.2566996,50,20000,65000,65000,24050,25050,32050,22000,64050,39050
1722366622.2710316,50,20000,65000,65000,24050,24050,32050,22000,64050,39050
1722366623.285522,50,20000,65000,65000,24050,24050,32050,21000,64050,39050
1722366624.3002932,50,20000,66000,66000,24050,24050,32050,21000,65050,39050
1722366625.314575,50,20000,65000,65000,24050,25050,32050,22000,65050,39050
1722366626.3288689,50,20000,66000,66000,24050,25050,32050,22000,65050,39050
1722366627.344053,50,20000,65000,65000,24050,25050,33050,22000,65050,39050
1722366628.358391,50,20000,66000,66000,24050,25050,32050,22000,65050,40050
1722366629.3727593,50,20000,66000,65000,24050,24050,32050,22000,66050,40050
1722366630.3879607,50,20000,67000,67000,24050,24050,32050,22000,66050,40050
1722366631.4021897,50,20000,67000,67000,24050,24050,32050,22000,66050,40050
1722366632.416883,50,20000,63000,63000,24050,24050,32050,22000,66050,40050
1722366633.4317946,50,20000,67000,67000,24050,25050,32050,22000,66050,40050
1722366634.4468417,50,20000,67000,67000,24050,25050,31050,22000,66050,40050
1722366635.4617052,50,20000,67000,67000,24050,25050,31050,22000,66050,40050
1722366636.4761558,50,20000,67000,67000,24050,24050,32050,21000,66050,40050
1722366637.4908469,50,20000,66000,66000,24050,24050,31050,21000,66050,40050
1722366638.505988,50,20000,68000,68000,24050,25050,32050,22000,66050,40050
1722366639.520993,50,20000,67000,67000,24050,24050,32050,21000,67050,40050
1722366640.5357904,50,20000,67000,67000,24050,24050,31050,21000,67050,40050
1722366641.5507765,50,20000,67000,67000,24050,25050,31050,21000,67050,40050
1722366642.5653088,50,20000,67000,67000,24050,24050,32050,21000,67050,40050
1722366643.5799158,50,20000,67000,67000,24050,25050,32050,22000,67050,40050
1722366644.5946424,50,20000,67000,67000,24050,24050,32050,21000,67050,40050
1722366645.6093624,50,20000,67000,67000,24050,24050,31050,21000,67050,40050
1722366646.6239495,50,20000,66000,66000,24050,24050,32050,21000,67050,40050
