time,intel-rapl-mmio:0,intel-rapl:0
1722385646.988529,36573273925,36573273925
1722385648.0030084,36602052050,36602052050
1722385649.0163972,36630890721,36630890721
1722385650.030041,36659642479,36659642479
1722385651.0429463,36688371592,36688371592
1722385652.0563717,36717032591,36717032591
1722385653.0704117,36745681443,36745681443
1722385654.0832818,36774144810,36774144810
1722385655.0965436,36802828147,36802828147
1722385656.1105843,36831691904,36831691904
1722385657.1234531,36860419308,36860419308
1722385658.13677,36889158981,36889158981
1722385659.1497664,36917965548,36917965548
1722385660.1627567,36946722737,36946722737
1722385661.1756647,36975544685,36975544685
1722385662.1891763,37004299677,37004299677
1722385663.2018428,37032927351,37032927351
1722385664.214449,37061678681,37061678681
1722385665.227097,37090265461,37090265461
1722385666.239901,37118911628,37118911628
1722385667.2531185,37147246333,37147246333
1722385668.2661588,37175873640,37175873640
1722385669.2790065,37204402559,37204402559
1722385670.291676,37233124592,37233124592
1722385671.3049524,37261829231,37261829231
1722385672.3182228,37290544916,37290544916
1722385673.3315623,37319087202,37319087202
1722385674.3455,37347839630,37347839630
1722385675.3584514,37376550739,37376550739
1722385676.3718584,37405248236,37405248236
1722385677.3854961,37433974664,37433974664
1722385678.3982577,37462703960,37462703960
1722385679.4118443,37491403228,37491403228
1722385680.4254193,37520345903,37520345903
1722385681.4381788,37549026127,37549026127
1722385682.4505498,37577762504,37577762504
1722385683.4633276,37606437052,37606437052
1722385684.4770155,37635162870,37635162870
1722385685.4904313,37663921829,37663921829
1722385686.5034354,37692642031,37692642031
1722385687.5158868,37721310415,37721310415
1722385688.528942,37750062051,37750062051
1722385689.5422256,37778794582,37778794582
1722385690.5553834,37807627089,37807627089
1722385691.5686266,37836360047,37836360047
1722385692.5824246,37865121876,37865121876
1722385693.5953426,37893816138,37893816138
1722385694.6086605,37922542505,37922542505
1722385695.6215787,37951291516,37951291516
1722385696.634788,37980171203,37980171203
1722385697.6477082,38008916429,38008916429
1722385698.6612413,38037636693,38037636693
1722385699.6738815,38066334922,38066334922
1722385700.6869383,38095224375,38095224375
1722385701.6993632,38123925107,38123925107
1722385702.7121491,38152614548,38152614548
1722385703.724968,38181305453,38181305453
1722385704.7380936,38210036947,38210036947
1722385705.7503881,38238720040,38238757211
1722385706.762673,38267467159,38267467159
1722385707.7754092,38296177535,38296177535
1722385708.788838,38324801607,38324801607
1722385709.8022218,38353383199,38353383199
1722385710.814288,38382004769,38382004769
1722385711.8270047,38410760554,38410760554
1722385712.8404198,38439441450,38439441450
1722385713.8542523,38468075959,38468075959
1722385714.8670554,38496742390,38496742390
1722385715.8804646,38525450324,38525450324
1722385716.89421,38554140864,38554140864
1722385717.906365,38582778058,38582778058
1722385718.9184983,38611370514,38611370514
1722385719.9318678,38640110553,38640110553
1722385720.9452152,38668771857,38668771857
1722385721.9582236,38697431512,38697431512
1722385722.9709804,38726076581,38726076581
1722385723.9841447,38754769439,38754769439
1722385724.9976957,38783451434,38783451434
1722385726.0110466,38812157537,38812157537
1722385727.0245304,38840307123,38840307123
1722385728.0374103,38869015424,38869015424
1722385729.0503619,38897751739,38897751739
1722385730.0630255,38926580157,38926580157
1722385731.076384,38955426824,38955426824
1722385732.0897143,38984226738,38984226738
1722385733.1023822,39012948161,39012948161
1722385734.1150973,39041685026,39041685026
1722385735.1282132,39070559525,39070559525
1722385736.141917,39099355410,39099355410
1722385737.1549468,39128085989,39128085989
1722385738.1688426,39156851479,39156851479
1722385739.18194,39185559779,39185559779
1722385740.1951358,39214343214,39214343214
1722385741.208009,39243242188,39243242188
1722385742.2208605,39272007312,39272007312
1722385743.2342494,39300952550,39300952550
1722385744.2471545,39329729637,39329729637
1722385745.2603567,39358474254,39358474254
1722385746.2738442,39387256651,39387296201
1722385747.2867773,39416061570,39416061570
1722385748.2998173,39444788242,39444788242
1722385749.3135052,39473508017,39473508017
1722385750.3263874,39502245614,39502245614
1722385751.3392239,39530915951,39530915951
1722385752.352831,39559691268,39559691268
1722385753.3659725,39588413240,39588413240
1722385754.3788083,39617097615,39617097615
1722385755.3926363,39645777473,39645777473
1722385756.4066975,39674556758,39674556758
1722385757.4193091,39703297224,39703297224
1722385758.432739,39732037079,39732037079
1722385759.44619,39760766620,39760766620
1722385760.4598172,39789497625,39789497625
1722385761.472713,39818207940,39818207940
1722385762.485874,39846786358,39846786358
1722385763.4989355,39875437530,39875437530
1722385764.5124059,39904064959,39904064959
1722385765.5255175,39932760381,39932760381
1722385766.5389502,39961389031,39961389031
1722385767.5521047,39990135784,39990135784
1722385768.5658705,40018866606,40018866606
1722385769.5792556,40047536210,40047536210
1722385770.5929828,40076217350,40076217350
1722385771.6063883,40104951835,40104951835
1722385772.619177,40133328044,40133328044
1722385773.6324859,40161898772,40161898772
1722385774.6451669,40189937579,40189937579
1722385775.6578164,40217985542,40217985542
1722385776.670782,40246174801,40246174801
1722385777.6841671,40274191514,40274191514
1722385778.697633,40302860325,40302860325
1722385779.7104924,40331069542,40331069542
1722385780.7234073,40359478039,40359478039
1722385781.7363653,40388210753,40388210753
1722385782.7495902,40416860155,40416860155
1722385783.7634788,40445523839,40445523839
1722385784.7764928,40474240684,40474240684
1722385785.7895257,40502903514,40502903514
1722385786.803094,40531588499,40531588499
1722385787.8169038,40560260179,40560260179
1722385788.8300612,40588977329,40588977329
1722385789.842554,40617615684,40617615684
1722385790.8546953,40646299936,40646299936
1722385791.8673103,40675058896,40675058896
1722385792.881501,40703835006,40703835006
1722385793.8942118,40732573702,40732573702
1722385794.9075918,40761299398,40761299398
1722385795.9209251,40790009163,40790009163
1722385796.9339166,40818763301,40818763301
1722385797.9467835,40847448774,40847448774
1722385798.9600527,40875981233,40875981233
1722385799.9736638,40904698262,40904698262
1722385800.98728,40933536628,40933536628
1722385802.0011976,40962378229,40962378229
1722385803.0141716,40991098126,40991098126
1722385804.0267773,41019792755,41019792755
1722385805.0403695,41048623858,41048623858
1722385806.0537703,41077383733,41077383733
1722385807.0674317,41106377250,41106377250
1722385808.0814388,41135138834,41135138834
1722385809.0944448,41163871793,41163871793
1722385810.1070235,41192565078,41192565078
1722385811.1208334,41221328677,41221328677
1722385812.1344178,41250219228,41250219228
1722385813.1471472,41278913124,41278913124
1722385814.1606166,41307659144,41307659144
1722385815.1734114,41336416212,41336416212
1722385816.186854,41365181275,41365181275
1722385817.2000554,41393944202,41393944202
1722385818.213674,41422781469,41422781469
1722385819.2264874,41451494591,41451494591
1722385820.2394009,41480171337,41480171337
1722385821.2528055,41508485534,41508485534
1722385822.2656665,41537132922,41537132922
1722385823.2784498,41565727758,41565727758
1722385824.2923658,41594252649,41594252649
1722385825.3056443,41622632581,41622632581
1722385826.3185132,41651113526,41651113526
1722385827.331494,41679717274,41679717274
1722385828.343919,41708198646,41708198646
1722385829.3570728,41736816737,41736816737
1722385830.3705242,41765485243,41765485243
1722385831.3833418,41794131226,41794131226
1722385832.396945,41822870167,41822870167
1722385833.409635,41851611548,41851611548
1722385834.4217901,41880205713,41880205713
1722385835.4337308,41908899793,41908899793
1722385836.4461827,41937610595,41937610595
1722385837.4589217,41966352160,41966352160
1722385838.472211,41995062780,41995062780
1722385839.4860096,42023756615,42023756615
1722385840.4991586,42052416820,42052416820
1722385841.5133219,42128791136,42128791136
1722385842.5262895,42224325682,42224325682
1722385843.5391052,42321024836,42321024836
1722385844.5531855,42417946646,42417946646
1722385845.5659904,42514921740,42514921740
1722385846.5787182,42609224111,42609224111
1722385847.592842,42700414734,42700414734
1722385848.606225,42799252372,42799252372
1722385849.6187987,42898093244,42898093244
1722385850.6314502,42997016575,42997016575
1722385851.644382,43095960535,43095960535
1722385852.6575422,43185371500,43185371500
1722385853.6711934,43284503449,43284503449
1722385854.6848419,43384062825,43384062825
1722385855.6980925,43485210271,43485210271
1722385856.7122543,43586615590,43586615590
1722385857.726302,43687061317,43687061317
1722385858.7394927,43777597157,43777597157
1722385859.753206,43876944498,43876944498
1722385860.7666037,43975022189,43975022189
1722385861.779464,44072101408,44072101408
1722385862.7935452,44168460719,44168460719
1722385863.8066254,44234504862,44234504862
1722385864.8206766,44300105158,44300105158
1722385865.833643,44365802805,44365802805
1722385866.8469987,44431531823,44431531823
1722385867.8606937,44497191506,44497191506
1722385868.8741615,44562956475,44562956475
1722385869.887322,44628649971,44628649971
1722385870.9013593,44694533408,44694533408
1722385871.914541,44760274878,44760274878
1722385872.9274764,44825989493,44825989493
1722385873.9402287,44891717047,44891717047
1722385874.953712,44957548543,44957548543
1722385875.9667816,45023203954,45023203954
1722385876.9805632,45085525694,45085525694
1722385877.9941413,45155017215,45155017215
1722385879.006835,45220718158,45220718158
1722385880.0198028,45286453524,45286453524
1722385881.0334535,45352337816,45352337816
1722385882.047147,45418262574,45418262574
1722385883.0604837,45483931595,45483931595
1722385884.0737526,45549965789,45549965789
1722385885.0870128,45615730574,45615730574
1722385886.1003435,45681569273,45681569273
1722385887.113306,45747365735,45747365735
1722385888.127165,45813275601,45813275601
1722385889.140763,45879124065,45879124065
1722385890.1538982,45945005305,45945005305
1722385891.166448,46010854440,46010854440
1722385892.1794586,46076654687,46076654687
1722385893.192761,46142491860,46142491860
1722385894.2067785,46208365470,46208365470
1722385895.2196836,46274144782,46274144782
1722385896.233416,46340155355,46340155355
1722385897.2454674,46405886876,46405886876
1722385898.258535,46471718007,46471718007
1722385899.2712178,46537594059,46537594059
1722385900.2850296,46603434039,46603434039
1722385901.298377,46669332247,46669332247
1722385902.3117015,46735166124,46735166124
1722385903.325612,46801077515,46801077515
1722385904.3388104,46866920913,46866920913
1722385905.3528054,46932828765,46932828765
1722385906.3663352,46998703657,46998703657
1722385907.379485,47064561460,47064561460
1722385908.3922987,47130415295,47130415295
1722385909.4059558,47196265346,47196265346
1722385910.418988,47262123942,47262123942
1722385911.4332528,47328099115,47328099115
1722385912.446236,47393941964,47393941964
1722385913.4590502,47459705468,47459771874
1722385914.4721467,47525539100,47525539100
1722385915.4854395,47591495780,47591495780
1722385916.49923,47657377630,47657377630
1722385917.5132341,47723289327,47723289327
1722385918.526412,47789119969,47789119969
1722385919.5393257,47854957508,47854957508
1722385920.553099,47920732058,47920732058
1722385921.5657344,47986641253,47986641253
1722385922.5788279,48052518098,48052518098
1722385923.5918927,48118354844,48118354844
1722385924.6056826,48184243957,48184243957
1722385925.618567,48250043471,48250043471
1722385926.6312385,48315887785,48315887785
1722385927.645209,48381785444,48381785444
1722385928.658759,48447623898,48447623898
1722385929.6719234,48513493847,48513493847
1722385930.6854684,48579418299,48579418299
1722385931.6986341,48645209940,48645209940
1722385932.7114007,48711044733,48711044733
1722385933.724545,48776946847,48776946847
1722385934.7390652,48842851402,48842851402
1722385935.7525382,48908768653,48908768653
1722385936.7655466,48974600515,48974600515
1722385937.7785497,49039478584,49039478584
1722385938.7913957,49106262288,49106262288
1722385939.805531,49172192722,49172192722
1722385940.818592,49238056933,49238056933
1722385941.831442,49303833803,49303833803
1722385942.8450317,49369736894,49369736894
1722385943.8582656,49434535861,49434535861
1722385944.871352,49501428879,49501428879
1722385945.885666,49567398802,49567398802
1722385946.89884,49633217604,49633217604
1722385947.9117317,49699071500,49699071500
1722385948.925442,49764980694,49764980694
