time,zone2_TSKN,zone0_INT3400 Thermal,zone9_x86_pkg_temp,zone7_TCPU_PCI,zone5_HTPP,zone3_CHRG,zone1_TMEM,zone8_iwlwifi_1,zone6_TCPU,zone4_AMBF
1722385646.9747455,50,20000,58000,58000,27050,27050,34050,25000,54050,49050
1722385647.9898777,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385649.0047355,50,20000,58000,58000,27050,27050,35050,25000,58050,49050
1722385650.0177557,50,20000,58000,58000,27050,27050,35050,25000,58050,49050
1722385651.031366,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385652.0443058,50,20000,58000,58000,27050,27050,35050,25000,58050,49050
1722385653.0577426,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385654.07177,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385655.0846465,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385656.0978982,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385657.1119583,50,20000,58000,58000,27050,27050,35050,25000,58050,49050
1722385658.124807,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385659.1381283,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385660.151085,50,20000,58000,58000,27050,27050,35050,25000,58050,49050
1722385661.1641395,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385662.1770175,50,20000,58000,58000,27050,27050,35050,25000,58050,49050
1722385663.1905396,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385664.2031639,50,20000,58000,58000,27050,27050,35050,25000,58050,49050
1722385665.2158267,50,20000,57000,57000,27050,27050,34050,25000,58050,49050
1722385666.228464,50,20000,58000,58000,27050,27050,35050,25000,58050,49050
1722385667.2412546,50,20000,57000,57000,27050,27050,35050,25000,58050,49050
1722385668.254474,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385669.267488,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385670.2803695,50,20000,58000,58000,27050,27050,35050,25000,58050,49050
1722385671.2930338,50,20000,58000,58000,27050,27050,35050,25000,58050,49050
1722385672.3063085,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385673.319562,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385674.3329227,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385675.3468642,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385676.3598258,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385677.3732247,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385678.386865,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385679.3995938,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385680.413204,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385681.4267786,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385682.439502,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385683.451908,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385684.4646826,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385685.4783754,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385686.4918272,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385687.504802,50,20000,58000,58000,27050,27050,35050,25000,58050,49050
1722385688.51723,50,20000,57000,57000,27050,27050,34050,25000,58050,49050
1722385689.530301,50,20000,58000,58000,27050,27050,35050,25000,58050,49050
1722385690.5435362,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385691.556739,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385692.5699873,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
1722385693.5837827,50,20000,58000,58000,27050,27050,34050,25000,58050,49050
