time,zone2_TSKN,zone0_INT3400 Thermal,zone9_x86_pkg_temp,zone7_TCPU_PCI,zone5_HTPP,zone3_CHRG,zone1_TMEM,zone8_iwlwifi_1,zone6_TCPU,zone4_AMBF
1722378147.3549073,50,20000,58000,58000,27050,27050,34050,27000,41050,35050
1722378148.3698957,50,20000,61000,61000,26050,27050,33050,24000,59050,36050
1722378149.3849726,50,20000,61000,61000,27050,27050,33050,24000,60050,36050
1722378150.3994315,50,20000,62000,62000,26050,27050,33050,24000,60050,36050
1722378151.4147756,50,20000,61000,61000,26050,27050,33050,24000,60050,36050
1722378152.429158,50,20000,62000,62000,26050,27050,33050,24000,61050,36050
1722378153.4436474,50,20000,61000,61000,26050,27050,33050,24000,61050,37050
1722378154.4589205,50,20000,62000,62000,26050,27050,34050,24000,61050,37050
1722378155.4736724,50,20000,63000,63000,26050,27050,33050,24000,62050,37050
1722378156.4881759,50,20000,62000,62000,26050,27050,33050,24000,62050,37050
1722378157.5028305,50,20000,62000,62000,26050,27050,33050,24000,62050,38050
1722378158.5176516,50,20000,62000,62000,26050,27050,33050,24000,62050,38050
1722378159.532113,50,20000,65000,65000,26050,27050,33050,24000,62050,38050
1722378160.5466232,50,20000,63000,63000,26050,27050,33050,24000,63050,38050
1722378161.5613809,50,20000,65000,65000,26050,27050,33050,24000,63050,38050
1722378162.5763395,50,20000,63000,63000,26050,27050,33050,24000,63050,38050
1722378163.5912879,50,20000,65000,65000,26050,27050,33050,24000,63050,38050
1722378164.6057112,50,20000,63000,63000,26050,27050,33050,24000,63050,38050
1722378165.620101,50,20000,65000,65000,26050,27050,33050,24000,63050,38050
1722378166.634938,50,20000,63000,63000,26050,27050,33050,24000,64050,38050
1722378167.6500378,50,20000,65000,65000,26050,27050,33050,24000,64050,38050
1722378168.6651628,50,20000,66000,66000,26050,27050,33050,24000,64050,39050
1722378169.6796465,50,20000,65000,65000,26050,27050,33050,24000,65050,39050
1722378170.6946676,50,20000,65000,65000,26050,27050,33050,24000,65050,39050
1722378171.7091665,50,20000,65000,65000,26050,27050,33050,24000,65050,39050
1722378172.723559,50,20000,65000,65000,26050,27050,33050,24000,65050,39050
1722378173.738669,50,20000,63000,63000,26050,27050,34050,24000,65050,39050
1722378174.7532442,50,20000,65000,65000,26050,27050,33050,24000,65050,39050
1722378175.7679613,50,20000,63000,63000,26050,27050,33050,24000,66050,39050
1722378176.7821214,50,20000,67000,67000,26050,27050,33050,24000,66050,39050
1722378177.7969573,50,20000,67000,67000,26050,27050,34050,24000,66050,39050
1722378178.8116474,50,20000,67000,67000,26050,27050,33050,24000,66050,39050
1722378179.826264,50,20000,67000,67000,26050,27050,33050,24000,67050,39050
1722378180.8408945,50,20000,67000,68000,26050,27050,33050,24000,67050,39050
1722378181.8556912,50,20000,67000,67000,26050,26050,33050,24000,67050,39050
1722378182.870365,50,20000,66000,66000,26050,27050,33050,24000,67050,40050
1722378183.885011,50,20000,67000,67000,26050,27050,33050,24000,67050,40050
1722378184.8997233,50,20000,67000,67000,26050,26050,33050,24000,67050,40050
1722378185.9151487,50,20000,67000,67000,26050,27050,34050,24000,67050,40050
1722378186.9296734,50,20000,68000,68000,26050,27050,33050,24000,67050,40050
1722378187.944428,50,20000,67000,67000,26050,27050,33050,24000,67050,40050
1722378188.9595563,50,20000,68000,68000,26050,27050,33050,24000,67050,40050
1722378189.9743462,50,20000,68000,68000,26050,27050,33050,24000,67050,40050
1722378190.989114,50,20000,68000,68000,26050,27050,33050,24000,68050,40050
1722378192.003639,50,20000,70000,70000,26050,26050,33050,24000,68050,40050
