time,intel-rapl-mmio:0,intel-rapl:0
1722378964.6359613,232200186510,232200186510
1722378965.6495988,232239684090,232239684090
1722378966.6644125,232279645108,232279645108
1722378967.6793442,232319605516,232319605516
1722378968.6938412,232359322394,232359322394
1722378969.708707,232399137234,232399137234
1722378970.723422,232439134080,232439134080
1722378971.7376175,232479407902,232479407902
1722378972.752456,232519811241,232519811241
1722378973.767599,232560106670,232560106670
1722378974.782644,232600573120,232600573120
1722378975.7973363,232640997760,232640997760
1722378976.8120115,232681339575,232681339575
1722378977.8264303,232721737910,232721737910
1722378978.8408759,232762109938,232762109938
1722378979.855565,232802485872,232802485872
1722378980.870947,232842815480,232842815480
1722378981.8854702,232883064218,232883064218
1722378982.9001257,232923384427,232923384427
1722378983.9143746,232963705308,232963705308
1722378984.9291518,233004031804,233004031804
1722378985.943574,233044360741,233044360741
1722378986.958053,233084636089,233084636089
1722378987.973017,233125031311,233125031311
1722378988.987859,233165424274,233165424274
1722378990.0025785,233205816504,233205816504
1722378991.0169692,233246175593,233246229121
1722378992.0317795,233286756788,233286756788
1722378993.0462134,233327074128,233327074128
1722378994.0608466,233367586232,233367586232
1722378995.0755317,233408172126,233408172126
1722378996.0902042,233448771021,233448771021
1722378997.1049223,233489376264,233489427167
1722378998.1195347,233530053772,233530053772
1722378999.1347606,233570727252,233570727252
1722379000.1491075,233611371313,233611371313
1722379001.1637177,233651977777,233651977777
1722379002.1786861,233692637463,233692637463
1722379003.1935267,233733311003,233733311003
1722379004.2082052,233773956346,233773956346
1722379005.2228286,233814586491,233814586491
1722379006.2368135,233855185508,233855185508
1722379007.2517505,233895871684,233895871684
1722379008.2664876,233936565366,233936565366
1722379009.2815607,233977223770,233977223770
1722379010.296266,234017822543,234017822543
1722379011.3108687,234058534475,234058534475
1722379012.3250375,234099249337,234099249337
1722379013.3399982,234140087123,234140087123
1722379014.3550751,234180845746,234180845746
1722379015.369221,234221564942,234221564942
1722379016.3841655,234262384966,234262384966
1722379017.3987784,234303120336,234303120336
1722379018.413171,234343994804,234343994804
1722379019.427755,234384711680,234384711680
1722379020.442628,234425639736,234425639736
1722379021.4566908,234466384139,234466384139
1722379022.471374,234507241639,234507241639
1722379023.4864337,234548193439,234548193439
1722379024.5013463,234589121313,234589121313
1722379025.5151715,234629932243,234629932243
1722379026.530308,234670832956,234670832956
1722379027.5451534,234711697171,234711697171
1722379028.5599494,234752551192,234752551192
1722379029.5747285,234793428956,234793428956
1722379030.5890067,234834296832,234834296832
1722379031.603527,234875173742,234875173742
1722379032.6182413,234916122612,234916122612
1722379033.6332855,234957092478,234957092478
1722379034.6480544,234998008694,234998008694
1722379035.662717,235038975691,235038975691
1722379036.6775508,235079937195,235079937195
1722379037.6921167,235120883745,235120883745
1722379038.706665,235161883701,235161883701
1722379039.7206867,235202795889,235202795889
1722379040.735122,235243742562,235243742562
1722379041.7496264,235284675684,235284675684
1722379042.7642882,235325605328,235325605328
1722379043.7783303,235366509581,235366509581
1722379044.7929444,235407469865,235407469865
1722379045.807593,235448420932,235448420932
1722379046.822777,235489489125,235489489125
1722379047.837536,235530454596,235530454596
1722379048.8519464,235571430138,235571430138
1722379049.8669858,235612528055,235612528055
1722379050.8817196,235653551937,235653551937
1722379051.8963351,235694638685,235694638685
1722379052.911128,235735681976,235735681976
1722379053.9255304,235776779039,235776779039
1722379054.9398475,235817848636,235817848636
1722379055.9533668,235858893208,235858893208
1722379056.9679456,235900050940,235900050940
1722379057.9829571,235941118645,235941118645
1722379058.9971063,235982178904,235982178904
1722379060.0120814,236023312893,236023312893
1722379061.026452,236064358198,236064358198
1722379062.0414321,236105464233,236105464233
1722379063.0560582,236146586381,236146586381
1722379064.0704408,236187698519,236187698519
1722379065.0851233,236228926990,236228926990
1722379066.0999243,236270030645,236270030645
1722379067.1146696,236311113181,236311113181
1722379068.1289513,236352280922,236352280922
1722379069.1441455,236393528375,236393528375
1722379070.159029,236434640636,236434640636
1722379071.173745,236475893399,236475893399
1722379072.1884909,236517069380,236517069380
1722379073.2028084,236558321655,236558321655
1722379074.2176487,236599570878,236599570878
1722379075.2353716,236640923189,236640923189
1722379076.24955,236682196277,236682196277
1722379077.2640522,236723372441,236723372441
1722379078.2785428,236764599569,236764599569
1722379079.2934692,236805802833,236805802833
1722379080.3078568,236847044182,236847044182
1722379081.3225214,236888412057,236888412057
1722379082.3376367,236929598109,236929598109
1722379083.3523538,236970996380,236970996380
1722379084.3668735,237012162412,237012162412
1722379085.3811114,237053426772,237053426772
1722379086.39535,237094821075,237094821075
1722379087.4099474,237136090195,237136090195
1722379088.4239736,237177382509,237177382509
1722379089.4376626,237218615802,237218615802
1722379090.4560692,237276495964,237276495964
1722379091.4739876,237482854627,237482854627
1722379092.4918716,237670217673,237670217673
1722379093.5100806,237839729080,237839729080
1722379094.5280607,238011875917,238011875917
1722379095.5463493,238172319232,238172319232
1722379096.5653474,238296289068,238296289068
1722379097.5853236,238362072835,238362072835
1722379098.604856,238427918492,238427918492
1722379099.6248834,238493851429,238493851429
1722379100.6446216,238559721499,238559721499
1722379101.6645992,238625706377,238625706377
1722379102.6845343,238691721345,238691721345
1722379103.7037268,238757913497,238757939803
1722379104.7230372,238822795960,238822795960
1722379105.742961,238889984814,238889984814
1722379106.7628446,238956034938,238956034938
1722379107.782399,239022068338,239022068338
1722379108.8020196,239088141228,239088141228
1722379109.8219457,239154330573,239154330573
1722379110.8418183,239220420309,239220420309
1722379111.8617704,239286654880,239286654880
1722379112.8816016,239352790026,239352790026
1722379113.9005733,239418909913,239418909913
1722379114.9203353,239484907424,239484907424
1722379115.9403002,239551099760,239551099760
1722379116.9600902,239617191571,239617191571
1722379117.9795277,239683127254,239683127254
1722379118.9993253,239749621468,239749621468
1722379120.0188549,239815788352,239815815513
1722379121.0372643,239880331278,239880331278
1722379122.056974,239948167591,239948167591
1722379123.0767958,240014295657,240014295657
1722379124.0966072,240080481705,240080481705
1722379125.1165159,240146818938,240146818938
1722379126.1363735,240213002850,240213002850
1722379127.1555378,240279344416,240279344416
1722379128.1744158,240345384592,240345384592
1722379129.193503,240411551476,240411551476
1722379130.2131336,240477721045,240477721045
1722379131.2327335,240543935963,240543935963
1722379132.2526858,240610070926,240610070926
1722379133.2727957,240676310685,240676310685
1722379134.2927353,240742502410,240742502410
1722379135.3127172,240808742231,240808742231
1722379136.3326597,240874912167,240874912167
1722379137.3526664,240941166331,240941264109
1722379138.3726223,241007474694,241007474694
1722379139.392587,241073680762,241073680762
1722379140.4120626,241139916188,241139916188
1722379141.4318347,241206257754,241206257754
1722379142.4516008,241272543107,241272543107
1722379143.471447,241338761931,241338761931
1722379144.4912035,241404950971,241404950971
1722379145.5112038,241471156734,241471156734
1722379146.5308492,241537399362,241537399362
1722379147.5500808,241603568993,241603568993
1722379148.569943,241669711707,241669711707
1722379149.589774,241735946889,241735946889
1722379150.6095483,241802172305,241802172305
1722379151.6295311,241868371965,241868371965
1722379152.6493354,241934657806,241934657806
1722379153.6690872,242000813337,242000813337
1722379154.688818,242067027706,242067027706
1722379155.7086983,242133304575,242133304575
1722379156.7288694,242199547936,242199547936
1722379157.7488809,242265881628,242265881628
1722379158.768713,242332130177,242332130177
1722379159.7887666,242398380313,242398380313
1722379160.8087068,242464592606,242464592606
1722379161.8285377,242530821746,242530821746
1722379162.8483133,242597028608,242597028608
1722379163.8680494,242663213314,242663213314
1722379164.88786,242729412851,242729412851
1722379165.907736,242795635399,242795635399
1722379166.927415,242861766700,242861766700
1722379167.947276,242928041310,242928041310
1722379168.9668562,242994191653,242994191653
1722379169.9853346,243058733297,243058795126
1722379171.0051472,243126747344,243126747344
1722379172.0250764,243193107831,243193107831
1722379173.044752,243259106625,243259106625
1722379174.064596,243325457346,243325457346
1722379175.0841808,243391688683,243391688683
1722379176.1030655,243457717566,243457717566
1722379177.1222563,243523917409,243523917409
1722379178.1422458,243590103031,243590103031
1722379179.1619737,243656317705,243656317705
1722379180.1815817,243722770721,243722770721
1722379181.2011213,243788902143,243788902143
1722379182.220882,243855167172,243855167172
1722379183.2406065,243921485117,243921485117
1722379184.2591329,243985729520,243985729520
1722379185.2789638,244053750953,244053849036
1722379186.2985415,244120015798,244120015798
1722379187.3184295,244186176578,244186176578
1722379188.3382807,244252347002,244252347002
1722379189.358082,244318662140,244318662140
1722379190.3778045,244384755110,244384755110
1722379191.3976545,244451003903,244451003903
1722379192.4175985,244517146068,244517209666
1722379193.4375985,244583470727,244583470727
1722379194.4575586,244649554847,244649554847
1722379195.477277,244715749441,244715749441
1722379196.4968035,244782102054,244782102054
1722379197.5166695,244848309282,244848377947
1722379198.5363464,244914571320,244914571320
1722379199.5562942,244980768050,244980768050
